# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  -1.78484472675871078e-03 3.01594719486118681e-62  1.02557283522788345e+00 -2.30833154186868578e-62  4.23471895362529493e-01 1.32708126448054397e-63  -4.03329513472864720e-01 5.42434930149549389e-64
PARTIAL     4  6.65150045173517723e-01 3.01099715166208537e-01  6.65150045173517723e-01 -3.01099715166208537e-01  5.16850791114999542e-01 -6.31523849151976477e-60  2.18979368924711171e+00 3.16892098325593462e-59
TOTALLY     4  1.02503189420841778e+00 -1.80273327078907496e-63  -8.60079451759178548e-01 1.34919790972874168e-63  2.32121264992900589e-01 -1.91847119077611730e-64  -4.04539681582825217e-01 -4.78248673834095161e-65
TOTALLY     4  1.02710297948195728e+00 -4.94796249724320342e-62  -1.06056290234569928e+00 -6.61723832347696289e-62  -4.05768529607530015e-01 2.30933552471230292e-62  -1.74942484167198664e+00 2.33368088407106889e-61
TOTALLY     4  8.51362884569016987e-01 1.71310701874794362e-56  -1.13209757323275229e+00 7.82645719059469788e-57  -1.33721118450778031e+00 -3.98007885149529353e-56  1.01791706120959488e-01 -1.95971610927461133e-57
NONREAL     4  1.89902826588822099e-01 8.51084377685875193e-01  -1.26731369967335228e+00 -6.89723436331744266e-01  5.90142903009047010e-02 3.75753563291728099e-01  -1.35707208792246486e-01 -4.66840622837917996e-01
TOTALLY     4  1.02650169798800572e+00 -3.00947342071963714e-62  1.45024794331217871e-01 -1.01141197397075255e-60  -4.03259176197432068e-01 -2.63792347782847431e-63  3.30714200865754515e+00 1.17604953765229798e-59
NONREAL     4  -1.07861346222487287e+00 -3.95056354839910875e-02  2.31888836147826766e-01 1.34745735759881163e-01  -3.92580972040634593e-02 2.99717320080072791e-01  -9.49136903025817213e-01 -2.96209919780053982e-02
NONREAL     4  -1.26731369967335228e+00 6.89723436331744266e-01  1.89902826588822099e-01 -8.51084377685875193e-01  -1.35707208792246486e-01 4.66840622837917996e-01  5.90142903009047010e-02 -3.75753563291728099e-01
NONREAL     4  -1.07861346222487287e+00 3.95056354839910875e-02  2.31888836147826766e-01 -1.34745735759881163e-01  -9.49136903025817213e-01 2.96209919780053982e-02  -3.92580972040634593e-02 -2.99717320080072791e-01
