# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
MINIMAL     4  1.05267647990730095e+00 -1.89097559939353399e+00  1.05267647990730095e+00 1.89097559939353399e+00  3.82404787342128571e-01 8.77385937425532281e-01  3.82404787342128571e-01 -8.77385937425532281e-01
TOTALLY     4  -2.89438304949178549e-01 -7.89035882277559621e-63  1.17747917005491010e+00 8.69796949839843335e-64  -1.61276908578124600e-01 -1.03221248302637790e-63  5.16577001990265305e+00 5.59628450472680092e-62
MINIMAL     4  8.28719597959211240e-01 3.20112638449717934e+00  8.28719597959211240e-01 -3.20112638449717934e+00  1.26062032205933178e-01 -9.30809718007416631e-01  1.26062032205933178e-01 9.30809718007416631e-01
TOTALLY     4  9.95720842669047923e-01 -1.77623787535981483e-61  7.38061677290139662e-02 2.83686315264985840e-61  -1.15149003799204688e-01 3.45930493590884403e-62  2.85647254798057926e+00 -1.62578376269833480e-60
PARTIAL     4  8.78406574217512753e-02 -4.51917842132012471e-02  8.78406574217512753e-02 4.51917842132012471e-02  -1.14479876189918617e-01 -2.39832091775018206e-63  8.53863807488692839e-02 -5.28643169132907813e-62
PARTIAL     4  5.43082297290603533e-03 -2.83281101817388359e-02  5.43082297290603533e-03 2.83281101817388359e-02  -1.29561753327686385e-03 1.18177200063263300e-58  -1.11854161000665656e-01 -1.93619030538999076e-59
MINIMAL     4  -4.99307504883195405e-02 -1.22813061098309834e-01  -4.99307504883195405e-02 1.22813061098309834e-01  -8.56603608012380391e-02 3.79032990335562772e-02  -8.56603608012380391e-02 -3.79032990335562772e-02
PARTIAL     4  -3.46441265036950885e-01 3.82591507512240414e-01  -3.46441265036950885e-01 -3.82591507512240414e-01  -2.71131688564415441e-01 1.04577675497609927e-61  -4.22494176572593472e-01 1.53941810707671526e-60
TOTALLY     4  -7.04381505082786186e-01 1.10406055015836287e-56  7.10788757063995080e-02 -2.01095819178139940e-56  -8.62737142615112584e-01 2.25661190121412741e-56  -1.15586946254555289e-01 -8.15210990857820244e-57
MINIMAL     4  -6.29087090738355670e-01 1.24544007031586434e+00  -6.29087090738355670e-01 -1.24544007031586434e+00  -2.93115136721497416e-01 6.04098005969013530e-01  -2.93115136721497416e-01 -6.04098005969013530e-01
