# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.00273046125862142e+00 -9.58295594043112722e-59  1.55044843341540978e-01 1.35081423997896079e-58  5.26210830278407093e-01 1.12143124569876898e-59  5.47809579376078037e+00 2.40732428898330480e-58
TOTALLY     4  1.18783406806942637e+00 1.76236578191761250e-61  -4.78856053383600710e-01 8.86102588306766665e-62  4.47769310907371931e-01 3.36128250943137940e-62  -6.72643971752315939e-01 2.96233857979561090e-62
TOTALLY     4  1.30001077662153364e+00 -6.14652260713591369e-54  -8.77066835250738919e-01 -3.30105333618367521e-53  -2.66123684995663634e+00 1.83296211917338223e-52  -7.54428651212377566e-01 -1.54985703740758507e-53
TOTALLY     4  1.15136096981239899e+00 5.37349085431909375e-60  -1.04466919241172396e+00 4.10357498094725057e-59  3.71986572607157062e-01 5.57428303581982170e-60  -8.35224493120482525e-01 2.46150431022001274e-59
TOTALLY     4  1.29325158715333388e+00 2.76327216585151691e-44  -5.44276942949576292e-01 -1.60585114947016340e-43  -7.17382473488300043e+00 4.96332597362329564e-42  -6.81699114848003829e-01 1.43877544253374933e-44
TOTALLY     4  1.11686175669511401e+00 -6.27143251666324412e-59  -1.17298101210031680e+00 -3.90028506635156934e-58  -1.10982413879096420e+00 -1.53508003879167000e-57  3.53185038150194808e-01 -6.15682185408008475e-59
MINIMAL     4  -6.26397548484302180e-01 -1.27095726108213936e+00  -6.26397548484302180e-01 1.27095726108213936e+00  -1.09916687457850007e-01 2.68818845687930352e-01  -1.09916687457850007e-01 -2.68818845687930352e-01
PARTIAL     4  -6.70191584164688603e-01 4.76722460982892726e-01  -6.70191584164688603e-01 -4.76722460982892726e-01  -4.10569031220738234e-01 7.87517564809681495e-57  -1.51024661891500534e-02 -1.97206271791665285e-57
PARTIAL     4  -6.01318117421184906e-01 6.89511113099474865e-59  -8.10204419237360862e-01 -6.89369557448717238e-59  -5.11313779787353262e-01 8.84690061719656529e-02  -5.11313779787353262e-01 -8.84690061719656529e-02
PARTIAL     4  -6.70706743563573848e-01 -3.99827460134921153e-01  -6.70706743563573848e-01 3.99827460134921153e-01  -4.64101060065227389e-01 -2.05253832321377883e-55  -1.37916035474808479e-03 5.01426816213995952e-56
