# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.04003547557692411e+00 -2.23650261354265842e-62  2.51366682621044849e-02 8.86134650321296096e-63  -1.26139580793096007e-01 6.01302349994841117e-64  3.03769581786859399e+00 3.91608712508685289e-62
TOTALLY     4  2.83596917872666832e-01 -1.68994257057869479e-62  2.41291139990347479e-02 -4.16002898458891046e-62  -1.26190285705752664e-01 -3.97351085979466467e-63  1.72769513765780397e-01 -2.58766656062279235e-62
TOTALLY     4  1.19165923188608947e+00 4.43069146134876381e-61  -2.93401049869808250e-01 -4.94919359457746415e-61  -1.66399078971965764e-01 -7.24837687843003399e-62  5.19547976586600324e+00 3.40733403529057798e-60
MINIMAL     4  1.07699089883178911e+00 -1.90787074639719600e+00  1.07699089883178911e+00 1.90787074639719600e+00  4.01251649071623084e-01 9.02646741535133468e-01  4.01251649071623084e-01 -9.02646741535133468e-01
MINIMAL     4  8.36511337969068847e-01 3.32063286762294618e+00  8.36511337969068847e-01 -3.32063286762294618e+00  1.28827585001318246e-01 -9.54785289464738396e-01  1.28827585001318246e-01 9.54785289464738396e-01
TOTALLY     4  1.62928435164155089e-01 5.18568386806341459e-58  -1.82198837131810315e-01 -1.85988033434558378e-59  1.92483463424597406e-02 2.99497818357965930e-58  -1.40825912099439426e-01 -3.51373769967205420e-59
TOTALLY     4  2.56576812087757657e-02 -4.89336253639485976e-61  -6.85738801000071008e-01 4.55704356136323821e-61  -1.26053333452226607e-01 -4.08740512174011100e-62  -8.63160413307054397e-01 1.96023461420464449e-61
TOTALLY     4  1.96562572056428186e-02 -8.59068066031251944e-58  -1.56597801872186221e-01 3.87582918541477625e-58  -5.95151853045107690e-02 -5.33337201462873645e-58  -1.24890105597709994e-01 2.75137351214193232e-58
PARTIAL     4  -3.61153946105593371e-01 3.52260952997017318e-01  -3.61153946105593371e-01 -3.52260952997017318e-01  -2.42562117808128974e-01 1.27206767705961247e-59  -5.16574583226930395e-01 -3.25952899355403430e-59
MINIMAL     4  -6.33069843430829504e-01 1.22754296889982872e+00  -6.33069843430829504e-01 -1.22754296889982872e+00  -3.06275208725860282e-01 -6.07805159330770062e-01  -3.06275208725860282e-01 6.07805159330770062e-01
