# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
MINIMAL     4  -2.35026566758043232e-01 4.48714000926455581e-01  -2.35026566758043232e-01 -4.48714000926455581e-01  -1.12898484820876513e-01 2.26736256314256618e-01  -1.12898484820876513e-01 -2.26736256314256618e-01
PARTIAL     4  7.66671204059871325e-01 5.85484010856057724e-01  7.66671204059871325e-01 -5.85484010856057724e-01  -4.02839553181285892e-01 -2.46943237603395387e-62  6.61590442003054058e+00 -2.74546054623013703e-59
NONREAL     4  6.15735487799551451e-01 9.34612955571045845e-01  -1.42195025163444422e+00 -9.60915078994280247e-02  1.41520107867600942e-01 3.43590399368271848e-01  -8.94096697598701473e-01 -9.18943722245221528e-02
PARTIAL     4  5.74192549862330814e-01 5.56954687169861185e-01  5.74192549862330814e-01 -5.56954687169861185e-01  -3.95020851920408367e-01 2.04857972791509457e-64  5.12720450527504146e-01 -6.36135422063951239e-64
MINIMAL     4  1.01916734911543339e+00 1.37283499608766690e+00  1.01916734911543339e+00 -1.37283499608766690e+00  9.81209550723631363e-01 -7.25465946972092546e-01  9.81209550723631363e-01 7.25465946972092546e-01
MINIMAL     4  4.47952126409410845e-01 2.97814367129154256e+00  4.47952126409410845e-01 -2.97814367129154256e+00  9.18506448046530199e-02 7.72642452454227802e-01  9.18506448046530199e-02 -7.72642452454227802e-01
MINIMAL     4  -2.84637264646787402e-01 6.34752515150345475e-01  -2.84637264646787402e-01 -6.34752515150345475e-01  -1.07909544807535715e-01 -2.88334490598197157e-01  -1.07909544807535715e-01 2.88334490598197157e-01
NONREAL     4  8.90439343659031990e-01 4.92722485662229925e-01  -1.39846332427868703e+00 1.55327019286119784e-02  -5.83651954733764189e-01 -2.31002911754835560e-01  -9.78413125530944172e-01 -2.10677037651859828e-01
NONREAL     4  8.90439343659031990e-01 -4.92722485662229925e-01  -1.39846332427868703e+00 -1.55327019286119784e-02  -9.78413125530944172e-01 2.10677037651859828e-01  -5.83651954733764189e-01 2.31002911754835560e-01
NONREAL     4  -1.42195025163444422e+00 9.60915078994280247e-02  6.15735487799551451e-01 -9.34612955571045845e-01  1.41520107867600942e-01 -3.43590399368271848e-01  -8.94096697598701473e-01 9.18943722245221528e-02
