# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.12147792084534315e+00 3.22212693443658397e-52  7.05084843585518789e-02 -5.28829894427020351e-52  2.78577602219223630e+00 1.45090247516044689e-51  -2.68775233461288343e-01 -7.95241538665054399e-53
MINIMAL     4  8.21616130148105639e-01 8.87153918241257666e-01  8.21616130148105639e-01 -8.87153918241257666e-01  7.70594424842473535e-01 -2.66290287780711066e-01  7.70594424842473535e-01 2.66290287780711066e-01
MINIMAL     4  4.44862095580390748e-01 -2.47671572362213421e+00  4.44862095580390748e-01 2.47671572362213421e+00  3.29235176113557501e-02 -6.38751832247468565e-01  3.29235176113557501e-02 6.38751832247468565e-01
NONREAL     4  6.13201542217999829e-01 5.27070231676882384e-01  -1.06540750528555006e+00 6.54093409698863898e-02  2.19273875244072880e-01 1.17863312313142066e-01  -5.19631618289149055e-01 8.31336173692877323e-02
NONREAL     4  5.60603880699952928e-01 6.86799238850651084e-01  -1.34795889390485346e+00 -2.38879713261755000e-01  1.90384365686867812e-01 1.38541043409593390e-01  -8.63667261336012571e-01 -5.38092319362477811e-01
TOTALLY     4  1.33075864331045657e+00 2.07103921812601006e-59  -8.70280459315594834e-01 3.76557374293950777e-60  -4.50700893144002857e-01 2.09973434480027175e-60  -7.38747187552564721e+00 5.98039938442134434e-58
PARTIAL     4  5.23106997528984818e-01 3.17254602622832060e-01  5.23106997528984818e-01 -3.17254602622832060e-01  -2.40939731560497195e-01 1.38249449896887340e-63  4.35551449941371294e-01 1.35497769570300724e-64
PARTIAL     4  -6.15027143011810495e-01 -2.37684272761249135e-56  -5.25114398423649154e-01 2.37687551283353121e-56  -6.24645404155118822e-01 2.36703295495425681e-01  -6.24645404155118822e-01 -2.36703295495425681e-01
NONREAL     4  -1.34795889390485346e+00 2.38879713261755000e-01  5.60603880699952928e-01 -6.86799238850651084e-01  -8.63667261336012571e-01 5.38092319362477811e-01  1.90384365686867812e-01 -1.38541043409593390e-01
NONREAL     4  -1.06540750528555006e+00 -6.54093409698863898e-02  6.13201542217999829e-01 -5.27070231676882384e-01  2.19273875244072880e-01 -1.17863312313142066e-01  -5.19631618289149055e-01 -8.31336173692877323e-02
