# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
NONREAL     4  6.94081581201500430e-01 -9.14038962672655719e-01  9.66871525245695196e-01 7.96540651334026850e-01  1.11289118236665763e+00 1.12810369541488431e-01  -1.67445998363869919e-01 3.46904070497100092e-01
MINIMAL     4  6.03181223885087991e-01 9.37549535628060871e-01  6.03181223885087991e-01 -9.37549535628060871e-01  -1.68146901897787970e-01 3.60637865266658808e-01  -1.68146901897787970e-01 -3.60637865266658808e-01
NONREAL     4  6.94081581201500430e-01 9.14038962672655719e-01  9.66871525245695196e-01 -7.96540651334026850e-01  -1.67445998363869919e-01 -3.46904070497100092e-01  1.11289118236665763e+00 -1.12810369541488431e-01
NONREAL     4  8.84323627971668635e-01 6.23035477357021028e-01  -1.72186271885164266e+00 8.08368627059914829e-02  1.28624279312710810e-01 1.85557953796189112e-01  -9.12916848811115678e-01 -1.23184040250132104e-01
TOTALLY     4  1.08705667011875917e+00 -1.50609102632233544e-62  -2.79479970642253850e+00 -1.83603283292755430e-62  -4.95065185468109958e-01 6.94210908920189019e-63  1.57523742041203535e-01 -2.33207769785919302e-63
NONREAL     4  6.83322651403785453e-01 9.55953697580843698e-01  -1.75218278939338235e+00 -2.22828913468291964e-02  -2.11976115553842881e-01 -4.53752470873942715e-01  -8.99531257486597569e-01 -7.25042504343176575e-02
NONREAL     4  -1.22063603627506811e+00 2.82403833395363124e-01  6.52647548744449524e-01 8.24573827542711135e-01  -2.34835653767513280e-01 -4.27742424337633875e-01  9.78189687423514781e-02 2.20301507808849273e-01
NONREAL     4  -1.22063603627506811e+00 -2.82403833395363124e-01  6.52647548744449524e-01 -8.24573827542711135e-01  -2.34835653767513280e-01 4.27742424337633875e-01  9.78189687423514781e-02 -2.20301507808849273e-01
NONREAL     4  8.84323627971668635e-01 -6.23035477357021028e-01  -1.72186271885164266e+00 -8.08368627059914829e-02  -9.12916848811115678e-01 1.23184040250132104e-01  1.28624279312710810e-01 -1.85557953796189112e-01
NONREAL     4  -1.75218278939338235e+00 2.22828913468291964e-02  6.83322651403785453e-01 -9.55953697580843698e-01  -8.99531257486597569e-01 7.25042504343176575e-02  -2.11976115553842881e-01 4.53752470873942715e-01
