# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  -3.63839111750717370e-01 -1.01410021510649573e+00  -3.63839111750717370e-01 1.01410021510649573e+00  -7.89071201476812534e-01 -2.43973119427877069e-58  3.02497330043642787e+00 7.49879646106493988e-59
NONREAL     4  -7.03449562719799748e-01 -6.93201356596734208e-01  1.14072638046492592e+00 -8.07757878465698687e-01  3.26321378279357255e+00 1.87586852292387207e+00  -5.37501371355941560e-01 8.31434636077087674e-01
MINIMAL     4  3.61735489622918527e+00 -6.22441276098843854e+00  3.61735489622918527e+00 6.22441276098843854e+00  -5.84871576050489583e+00 1.83683735677416742e+01  -5.84871576050489583e+00 -1.83683735677416742e+01
NONREAL     4  -7.03449562719799748e-01 6.93201356596734208e-01  1.14072638046492592e+00 8.07757878465698687e-01  3.26321378279357255e+00 -1.87586852292387207e+00  -5.37501371355941560e-01 -8.31434636077087674e-01
MINIMAL     4  1.39441852938311961e-01 -2.87735815335709522e-01  1.39441852938311961e-01 2.87735815335709522e-01  4.25176451284856816e-01 -5.74510415591593104e-01  4.25176451284856816e-01 5.74510415591593104e-01
MINIMAL     4  1.42630819365218153e-01 -2.38330262507812501e-01  1.42630819365218153e-01 2.38330262507812501e-01  3.92808227629791784e-01 -6.30482605155980202e-01  3.92808227629791784e-01 6.30482605155980202e-01
MINIMAL     4  1.03278232977740880e+00 -2.00974818134478328e+00  1.03278232977740880e+00 2.00974818134478328e+00  1.58906249688983592e+00 -4.02405983112479859e+00  1.58906249688983592e+00 4.02405983112479859e+00
PARTIAL     4  -5.62380977526641068e-01 1.21986793530394544e+00  -5.62380977526641068e-01 -1.21986793530394544e+00  3.34498366184058638e+00 5.68527999843227263e-60  -1.32238242692404251e+00 -1.14871494719460651e-59
MINIMAL     4  -7.79179365126373202e-01 2.43499545353294627e-01  -7.79179365126373202e-01 -2.43499545353294627e-01  -9.03608919141620448e-01 6.98405446972606869e-01  -9.03608919141620448e-01 -6.98405446972606869e-01
PARTIAL     4  -1.12419981584722573e+00 -4.60152621229398355e-64  8.64510693633842475e-01 -1.79916561705137369e-63  -5.56164803342272918e-01 1.38572733336489140e+00  -5.56164803342272918e-01 -1.38572733336489140e+00
