# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  -1.26895071083466066e-01 -3.01299497154772642e-59  1.27062437371910675e+00 -6.65391257905080433e-59  -4.04776217844435293e-01 -2.62204809071127630e-60  1.14605701938627487e+01 2.18273620999870696e-57
TOTALLY     4  1.38798830977592180e+00 1.79906187934913861e-61  -1.49655803970536838e+00 -8.43489733845631591e-62  -6.88262735100291123e-01 -5.28590109020191754e-62  -1.66407648791971718e+00 1.41161538686190252e-61
MINIMAL     4  -5.50831358503349300e-01 6.32115433404927818e-01  -5.50831358503349300e-01 -6.32115433404927818e-01  -1.56916631480836288e-01 2.26701206735207467e-01  -1.56916631480836288e-01 -2.26701206735207467e-01
TOTALLY     4  9.36998994843328381e-01 -6.40310630550388337e-61  -9.94686007086219015e-01 -3.89529321506430024e-60  2.21132655838436859e-01 -6.74893612693657643e-61  -5.12402874076595016e-01 -4.96278581514911258e-61
TOTALLY     4  3.12630537462212366e-01 2.77971066624479830e-57  -1.60072216059368122e+00 -1.76160541036623265e-58  -1.01970552573597173e+00 -4.97402007837258656e-58  -2.01849941113248256e-02 -1.92193176001874852e-60
TOTALLY     4  4.89028529937437062e-01 -1.89389122271306313e-55  -1.62513178900173116e+00 2.64538950845416820e-56  -1.04192930991864796e+00 2.37147769697237164e-56  4.45269774285787234e-02 -6.77972741031864387e-56
MINIMAL     4  7.74967494046678973e-01 8.46594116171436206e-01  7.74967494046678973e-01 -8.46594116171436206e-01  9.27522224169618159e-01 -2.87742871175976578e-01  9.27522224169618159e-01 2.87742871175976578e-01
MINIMAL     4  6.27967133607868488e-01 2.01898816056133024e+00  6.27967133607868488e-01 -2.01898816056133024e+00  4.28391724108908231e-02 -6.62206046016994399e-01  4.28391724108908231e-02 6.62206046016994399e-01
TOTALLY     4  -3.48700248470586449e-01 4.75318932563359131e-64  9.94903345931943184e-01 6.81061896033078311e-64  -4.23896184645777774e-01 4.42340266502253693e-65  3.25331486842023287e-01 3.82130259005793383e-64
TOTALLY     4  9.97455095043454643e-02 -9.56403324903222433e-57  -1.56468597902683149e+00 1.69270743415709044e-57  -1.00094823245121001e+00 7.67006206485442810e-58  -1.59178819138706240e-01 -6.73927365282644237e-57
