# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
NONREAL     4  1.24192287990233630e+00 2.95214558631440971e-01  -5.38796237289095314e-01 -7.03320471629109600e-01  7.90375713697399479e-02 2.72296256014932347e-01  -3.05115767919530101e-01 -3.13512665195893436e-01
NONREAL     4  1.46528016641803571e+00 3.90271419710849429e-02  -7.41338461258271852e-01 4.34361412344710984e-01  8.97835236193782887e-02 -1.68423964985316060e-01  -6.76724883520684495e-01 -3.30404286313256268e+00
NONREAL     4  1.24192287990233630e+00 -2.95214558631440971e-01  -5.38796237289095314e-01 7.03320471629109600e-01  7.90375713697399479e-02 -2.72296256014932347e-01  -3.05115767919530101e-01 3.13512665195893436e-01
NONREAL     4  1.55323734444695805e+00 -6.27583704550862959e-02  -5.92618220171200583e-01 6.56239788734989893e-01  5.09789121624729558e-01 -2.56215299224282012e+00  -3.17284384915420326e-01 3.02037922198972186e-01
NONREAL     4  1.46528016641803571e+00 -3.90271419710849429e-02  -7.41338461258271852e-01 -4.34361412344710984e-01  -6.76724883520684495e-01 3.30404286313256268e+00  8.97835236193782887e-02 1.68423964985316060e-01
MINIMAL     4  1.62357717799283569e-01 6.36860125802057753e-01  1.62357717799283569e-01 -6.36860125802057753e-01  -1.35937214521653166e-01 -3.16725012746333801e-01  -1.35937214521653166e-01 3.16725012746333801e-01
NONREAL     4  1.55323734444695805e+00 6.27583704550862959e-02  -5.92618220171200583e-01 -6.56239788734989893e-01  -3.17284384915420326e-01 -3.02037922198972186e-01  5.09789121624729558e-01 2.56215299224282012e+00
MINIMAL     4  -5.61508278887421497e-01 5.62193619252402743e-01  -5.61508278887421497e-01 -5.62193619252402743e-01  -3.01014903584084614e-01 -7.43183360796901282e-02  -3.01014903584084614e-01 7.43183360796901282e-02
MINIMAL     4  -6.06318644133673978e-01 5.88736372485522574e-01  -6.06318644133673978e-01 -5.88736372485522574e-01  -3.88404420643418735e-01 8.88700822362288034e-02  -3.88404420643418735e-01 -8.88700822362288034e-02
MINIMAL     4  -5.84402678029335876e-01 5.70191446819758196e-01  -5.84402678029335876e-01 -5.70191446819758196e-01  -3.40723244507621204e-01 2.04862437099617052e-02  -3.40723244507621204e-01 -2.04862437099617052e-02
