# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  7.35612864164177704e-01 -6.54883444009363048e-59  6.37404936594038851e-01 6.55672327795103113e-59  -3.51513620092945400e-01 1.05011539717118069e-63  4.75026280994477457e+00 1.93292692527598468e-60
MINIMAL     4  9.16359885783746053e-01 -1.18350772536683513e+00  9.16359885783746053e-01 1.18350772536683513e+00  5.93325771906132227e-01 -7.38462054701310766e-01  5.93325771906132227e-01 7.38462054701310766e-01
PARTIAL     4  5.45696607217398877e-01 2.00403605670301299e-01  5.45696607217398877e-01 -2.00403605670301299e-01  4.23910512092309233e-01 -1.06931964545067608e-62  -3.50395872052699453e-01 -2.31431383153707890e-62
PARTIAL     4  1.14301553185130800e+00 -3.53555361728081359e-59  -1.14145334787395702e+00 -2.44431748448573136e-59  -7.98970175871403621e-01 -2.08105959462682205e-01  -7.98970175871403621e-01 2.08105959462682205e-01
NONREAL     4  -1.14615886773329079e+00 1.07587168057453206e-01  5.59038268065671584e-01 4.88823607290845397e-01  7.20353163993099339e-04 2.74545667364625212e-01  -5.83082641331501672e-01 8.00978870185680841e-02
MINIMAL     4  6.40904029672439313e-01 2.30447757940096398e+00  6.40904029672439313e-01 -2.30447757940096398e+00  7.39358438170819865e-02 -7.37193087707694539e-01  7.39358438170819865e-02 7.37193087707694539e-01
MINIMAL     4  -3.95633888889325214e-01 8.30767428068479030e-01  -3.95633888889325214e-01 -8.30767428068479030e-01  -1.50540737562169430e-01 4.44249159477498878e-01  -1.50540737562169430e-01 -4.44249159477498878e-01
PARTIAL     4  -1.06055143633271687e+00 -8.22175740422830279e-62  4.66524003861592929e-01 1.04525727544210210e-61  -3.93975724524243176e-01 -1.36963826834836377e-01  -3.93975724524243176e-01 1.36963826834836377e-01
PARTIAL     4  -9.35671252239843043e-01 2.97793619001991244e-62  4.20108650054316801e-01 -1.34209998734299575e-62  -2.93608395063299332e-01 -1.38513536540535109e-01  -2.93608395063299332e-01 1.38513536540535109e-01
NONREAL     4  -1.14615886773329079e+00 -1.07587168057453206e-01  5.59038268065671584e-01 -4.88823607290845397e-01  -5.83082641331501672e-01 -8.00978870185680841e-02  7.20353163993099339e-04 -2.74545667364625212e-01
