# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  3.81702746059183681e-02 -4.49569772711189186e-60  1.12337985253883654e+00 -8.33197875936967159e-60  -6.07314355796691352e-01 -4.72381786190449260e-62  6.65287185306848006e+00 1.14020528428686948e-59
TOTALLY     4  1.13165006034997528e+00 -1.22225106575573783e-61  -1.22837939596396861e+00 2.86342793141738843e-61  2.76851787067526944e-01 -1.59288307704999819e-62  -7.68622811557679642e-01 -2.24200462123453557e-61
TOTALLY     4  1.34785202013420081e-02 8.87375864908462383e-46  1.13645186830331513e+00 -4.63896841876101356e-46  7.04380122133128594e+00 -1.49626697956759147e-44  3.61745616923790092e-01 -1.74667839422620855e-46
TOTALLY     4  1.12849437955354870e+00 -3.42439737775456868e-64  4.34067626906438006e-02 1.15508328218599442e-63  3.63214935834642094e-01 -1.34654044881840622e-65  -6.07175424902494876e-01 5.11504824959153358e-65
TOTALLY     4  3.35891126077711294e-02 -1.09431543168281091e-54  -1.22570837625206419e+00 1.15463180728621454e-55  -8.52092096895679108e-01 2.50740345019616777e-56  -1.27404602633232805e-01 7.32668596281277408e-53
TOTALLY     4  1.12236385308604047e+00 -7.90218911729423873e-58  -1.22613885069127648e+00 -2.31807742474446092e-58  -1.35321342409078049e+00 1.62237587120124318e-58  -7.66883642767215323e-01 3.42685027618571219e-58
PARTIAL     4  -1.93657481672329518e-01 7.14215800129517386e-58  -1.00343486002805493e+00 -6.89093325816611428e-58  -1.25054428711005777e-01 1.37275938056521496e-01  -1.25054428711005777e-01 -1.37275938056521496e-01
TOTALLY     4  3.39481840332895926e-02 1.17460017921210912e-56  -1.22574626052890978e+00 -1.17474296774732832e-57  -1.51487087952709848e-01 -7.91899883804666795e-55  -8.52100324403948228e-01 -1.18517692459853877e-57
TOTALLY     4  -1.21715400853044131e+00 1.39681524158441188e-60  1.13443422843109643e+00 3.35367195689700745e-61  2.77962851030791713e-01 1.32306710981589776e-61  -1.38692305665814897e+00 -2.55143504357405507e-60
TOTALLY     4  2.02364494521487748e-01 -8.37149496985559102e-58  -1.38761665266948775e+00 8.18726641532867704e-58  -6.47549827852959749e-03 -5.65261176931615957e-58  -3.00599942984039026e-01 7.35207168785076585e-58
