# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  6.26837319989182351e-01 -6.04506654007753941e-01  6.26837319989182351e-01 6.04506654007753941e-01  4.07156471828418298e-01 -1.79997687714417291e-62  -5.77691854928541026e-01 4.87399511807833346e-63
PARTIAL     4  7.21805628740585070e-01 7.60299873536946502e-01  7.21805628740585070e-01 -7.60299873536946502e-01  4.67686444822085157e-01 1.46412773684199303e-61  1.44264127239301132e+00 -3.19285619785107076e-61
PARTIAL     4  6.70302565223646840e-01 6.19635765164214480e-01  6.70302565223646840e-01 -6.19635765164214480e-01  -5.79378669187426421e-01 -2.93154956530067972e-60  1.76596818014537948e+00 -2.00903347064305552e-57
NONREAL     4  6.41599094613853449e-01 6.95712470200755329e-01  -1.15982542557845680e+00 -2.24620276557091179e-02  1.26576870936437408e-01 2.53458546683693609e-01  -8.35959592307491839e-01 -6.73194468038542104e-02
TOTALLY     4  2.43689951363080914e-01 -2.50456946572627937e-63  -5.10936010699660548e-01 2.09558843799806851e-63  -3.35836313466573888e-01 4.12852180130597513e-63  -3.80636406089669282e-02 -3.70146751174172670e-63
NONREAL     4  7.01202556467042770e-01 6.09753140686999040e-01  -1.16071591801670837e+00 4.37297726305548029e-03  -5.08165927618357438e-01 -5.81112065326186200e-01  -8.28008175376417133e-01 -7.83214226606312042e-02
NONREAL     4  6.60443551257364647e-01 8.15469789387017752e-01  -1.32327965119015434e+00 -1.29163423373341690e-01  1.30361579712238385e-01 2.80049377474736017e-01  -3.72516383720858268e-01 -6.13230710590232264e-01
NONREAL     4  -1.16071591801670837e+00 -4.37297726305548029e-03  7.01202556467042770e-01 -6.09753140686999040e-01  -5.08165927618357438e-01 5.81112065326186200e-01  -8.28008175376417133e-01 7.83214226606312042e-02
NONREAL     4  -1.32327965119015434e+00 1.29163423373341690e-01  6.60443551257364647e-01 -8.15469789387017752e-01  -3.72516383720858268e-01 6.13230710590232264e-01  1.30361579712238385e-01 -2.80049377474736017e-01
NONREAL     4  -1.15982542557845680e+00 2.24620276557091179e-02  6.41599094613853449e-01 -6.95712470200755329e-01  1.26576870936437408e-01 -2.53458546683693609e-01  -8.35959592307491839e-01 6.73194468038542104e-02
