# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
MINIMAL     4  8.51617254271626933e-01 2.78895808800429279e+00  8.51617254271626933e-01 -2.78895808800429279e+00  1.41201835443087759e-01 8.80963700240803838e-01  1.41201835443087759e-01 -8.80963700240803838e-01
PARTIAL     4  7.42527214069164332e-01 -8.79566275878690407e-01  7.42527214069164332e-01 8.79566275878690407e-01  5.70899406626022232e-01 8.13569386712557493e-56  7.23627792831264438e-01 -8.78741238309209082e-56
MINIMAL     4  8.63855352207693494e-01 1.24619363144681872e+00  8.63855352207693494e-01 -1.24619363144681872e+00  5.23169486604233680e-01 -6.26982620817028935e-01  5.23169486604233680e-01 6.26982620817028935e-01
MINIMAL     4  1.28731122603466613e-01 -1.37001149762324470e-01  1.28731122603466613e-01 1.37001149762324470e-01  3.05686068913527016e-02 2.53513131175045925e-01  3.05686068913527016e-02 -2.53513131175045925e-01
NONREAL     4  1.05172922522704981e+00 4.03492483465672097e-02  -9.08517328619077191e-01 2.89014905860857096e-02  -3.37635838548188613e-02 -1.12773902389218545e-02  -3.71946217455741124e+00 -5.82461023090758423e-01
MINIMAL     4  3.18179534302476863e-01 3.92816967203282019e-01  3.18179534302476863e-01 -3.92816967203282019e-01  1.13326515857267759e-01 2.49076000803652081e-01  1.13326515857267759e-01 -2.49076000803652081e-01
NONREAL     4  -1.99966994156218603e-01 -9.28167873127487164e-01  -7.28587761931332678e-01 6.75469084183380364e-01  -4.61986476091690357e-01 3.43101690413804339e-01  -1.46404988970848859e-01 -4.46467117101076727e-01
NONREAL     4  1.05172922522704981e+00 -4.03492483465672097e-02  -9.08517328619077191e-01 -2.89014905860857096e-02  -3.71946217455741124e+00 5.82461023090758423e-01  -3.37635838548188613e-02 1.12773902389218545e-02
NONREAL     4  -7.28587761931332678e-01 -6.75469084183380364e-01  -1.99966994156218603e-01 9.28167873127487164e-01  -4.61986476091690357e-01 -3.43101690413804339e-01  -1.46404988970848859e-01 4.46467117101076727e-01
MINIMAL     4  -3.09499121610312733e-01 6.25927368285109642e-01  -3.09499121610312733e-01 -6.25927368285109642e-01  -1.61365043774670730e-01 3.42700175698243181e-01  -1.61365043774670730e-01 -3.42700175698243181e-01
