# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
MINIMAL     4  1.05701370318065879e+00 -1.91917208050469879e+00  1.05701370318065879e+00 1.91917208050469879e+00  3.71259479841086815e-01 8.86775753739361239e-01  3.71259479841086815e-01 -8.86775753739361239e-01
MINIMAL     4  8.07451887864873097e-01 3.24110441977182706e+00  8.07451887864873097e-01 -3.24110441977182706e+00  1.21811791013091322e-01 9.34373492373320791e-01  1.21811791013091322e-01 -9.34373492373320791e-01
TOTALLY     4  8.88988768252703787e-01 -3.46796980252434085e-62  2.08065384893533462e-01 -1.52679654923095482e-62  -1.06734083274577604e-01 1.58887876695391365e-64  2.45702653811723692e+00 7.18177330045583584e-63
TOTALLY     4  6.59778975685224311e-02 -1.03631921076945565e-62  -3.19900841070692860e-02 7.20552376544121368e-63  -8.53821039022643058e-02 8.12620536679036950e-63  -1.69571718616114940e-02 -9.85923113821268072e-63
TOTALLY     4  1.19363838267406086e+00 -1.06062513669756211e-61  -3.86361822386905529e-01 2.89731477034011867e-62  -1.77490006052452076e-01 6.63923866987458455e-63  6.69428399418376330e+00 -2.01417861461376162e-60
PARTIAL     4  1.38300330446919889e-01 1.13666346346032412e-01  1.38300330446919889e-01 -1.13666346346032412e-01  -1.03220927460689518e-01 5.38825325790977276e-63  1.26249893004825475e-01 -1.76803143889579387e-61
MINIMAL     4  -3.30164517282370285e-01 4.36035437538535686e-01  -3.30164517282370285e-01 -4.36035437538535686e-01  -3.04552067523813308e-01 1.42536721836831692e-01  -3.04552067523813308e-01 -1.42536721836831692e-01
MINIMAL     4  -6.31833771806285416e-01 1.27381484615673957e+00  -6.31833771806285416e-01 -1.27381484615673957e+00  -2.81256017583317808e-01 -6.20063135369972152e-01  -2.81256017583317808e-01 6.20063135369972152e-01
TOTALLY     4  1.83066984788924553e-01 -2.16905199582350632e-61  -7.78338354031001267e-01 1.93512858905998773e-61  -1.10394662626308981e-01 -5.78075207041708361e-62  -9.60091054933262633e-01 7.21597212729340213e-62
MINIMAL     4  -1.30018487151544154e-01 2.36758190436633681e-01  -1.30018487151544154e-01 -2.36758190436633681e-01  -1.32105177338256913e-01 1.11692019435695178e-01  -1.32105177338256913e-01 -1.11692019435695178e-01
