# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.17979113249961221e+00 7.20919551891672742e-46  -3.04995227727048346e-01 -2.13243147999301209e-45  5.13462345475289972e+00 2.78072984281219072e-44  -1.78142072737403429e-01 -2.68273743429518476e-46
TOTALLY     4  -6.68400645638235869e-01 2.78088476996061779e-63  2.31407221712456521e-02 -2.74634998123529392e-63  -1.38167480741014870e-01 -5.11351067137829529e-64  -8.26094016698472045e-01 -6.60629522196271135e-64
NONREAL     4  7.39063625156442666e-02 1.54647633985016186e-01  -1.50529566230482997e-01 -3.50852935383189277e-02  -8.95213015223438567e-03 7.58379711898262698e-02  -1.46162489989278999e-01 -1.20052286884018214e-02
TOTALLY     4  3.63656383018812479e-02 -5.32682200734786849e-50  1.01451573868339051e+00 3.30552057504816948e-50  2.86574586294318756e+00 1.76628739150528090e-49  -1.35988465512020457e-01 -5.48920742451048926e-51
TOTALLY     4  1.12807910369947639e-01 -1.20829740011531518e-59  1.46830457118359708e-01 1.21421013674078707e-59  -1.34258910126165337e-01 3.26634109061403244e-63  1.52605684291301197e-01 2.71665116177722411e-62
NONREAL     4  7.39063625156442666e-02 -1.54647633985016186e-01  -1.50529566230482997e-01 3.50852935383189277e-02  -8.95213015223438567e-03 -7.58379711898262698e-02  -1.46162489989278999e-01 1.20052286884018214e-02
MINIMAL     4  1.06634734893911132e+00 1.93304924347859708e+00  1.06634734893911132e+00 -1.93304924347859708e+00  3.77134929932125995e-01 -8.90627428715783820e-01  3.77134929932125995e-01 8.90627428715783820e-01
MINIMAL     4  7.88819938958235989e-01 3.27647659857054308e+00  7.88819938958235989e-01 -3.27647659857054308e+00  1.23208962968100563e-01 -9.34218861145538093e-01  1.23208962968100563e-01 9.34218861145538093e-01
MINIMAL     4  -3.48912894962072062e-01 4.02286496009224614e-01  -3.48912894962072062e-01 -4.02286496009224614e-01  -3.45017200991055428e-01 6.28745597407579515e-02  -3.45017200991055428e-01 -6.28745597407579515e-02
MINIMAL     4  -6.27038753782117819e-01 1.26185304908929385e+00  -6.27038753782117819e-01 -1.26185304908929385e+00  -2.79981633704155686e-01 6.11149748978693563e-01  -2.79981633704155686e-01 -6.11149748978693563e-01
