# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  4.89324510192192252e-01 1.75447887534428978e-61  6.99321940124773556e-02 -1.64647738486472121e-61  1.70784958422132982e-01 -2.15943833971122530e-63  -3.04859838495543878e+00 1.47065443394972829e-62
NONREAL     4  9.33556073646512052e-01 3.05092581129127738e-01  -1.73342909816630875e+00 3.09957770851859771e-01  2.45391194924114986e+00 5.25150305763796621e-01  -4.67631210842307909e-01 -1.07907481597120691e+00
PARTIAL     4  1.08439698348506797e+00 1.72726274791393576e-63  -2.61513547298046822e-01 -2.06014757683002870e-63  2.64532005774439916e-01 4.42346690174219181e-01  2.64532005774439916e-01 -4.42346690174219181e-01
NONREAL     4  -1.73342909816630875e+00 -3.09957770851859771e-01  9.33556073646512052e-01 -3.05092581129127738e-01  2.45391194924114986e+00 -5.25150305763796621e-01  -4.67631210842307909e-01 1.07907481597120691e+00
PARTIAL     4  3.02050915638408468e-01 -5.14665651207880992e-01  3.02050915638408468e-01 5.14665651207880992e-01  -2.53385488960864169e+00 -5.44956513167101628e-62  7.90095334486779710e-01 -2.93059633908040874e-61
PARTIAL     4  7.74998064206878556e-01 2.95528870356741012e-59  -3.06442545812353240e+00 1.79829923596902686e-58  -7.53792386783550317e-01 -9.55754846199465935e-01  -7.53792386783550317e-01 9.55754846199465935e-01
PARTIAL     4  -8.75726503977140580e-01 6.24670706344149007e-01  -8.75726503977140580e-01 -6.24670706344149007e-01  -9.97106459245116317e-01 2.47932447470762557e-61  1.79166862869763466e+00 6.14696894986908402e-62
TOTALLY     4  -5.07007289981853182e-01 -1.19347958063975007e-62  -1.32720778030209319e+00 2.81149701346033385e-62  -4.68043193378875455e-01 1.84606774995314792e-62  1.87047115020200350e+00 -4.73220371095754797e-63
PARTIAL     4  8.16105815877545826e-02 1.16725993043126031e+00  8.16105815877545826e-02 -1.16725993043126031e+00  1.23680701599346410e+00 -1.71630872720406333e-61  -1.60710379977498885e+00 -4.50672197657770046e-61
PARTIAL     4  -1.39005769023887588e-01 -2.47842675247048306e-60  -3.41007808418745428e+00 8.06128748711508956e-60  -6.32309838083936371e-01 3.35704813656547751e-01  -6.32309838083936371e-01 -3.35704813656547751e-01
