# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  8.04642202585808874e-01 6.10348268345970668e-01  8.04642202585808874e-01 -6.10348268345970668e-01  -2.06017200639805942e-01 -1.40172561015256566e-62  2.57229477786530980e+00 -4.53702040458769061e-62
PARTIAL     4  7.45611030517273066e-01 7.43311977928511558e-01  7.45611030517273066e-01 -7.43311977928511558e-01  4.72657345307233301e-01 3.51750476602742936e-63  -1.94895129498925929e-01 -4.57239089226111036e-64
PARTIAL     4  9.24398430521438108e-01 1.00581707907186635e+00  9.24398430521438108e-01 -1.00581707907186635e+00  6.31976849140212016e-01 3.53922298245972319e-61  1.47333542058177813e+00 -1.31775462136468462e-60
PARTIAL     4  8.28693431217416898e-01 -1.26884680311887757e-54  -1.30901530732232541e+00 9.12440419910386061e-56  -8.03641530052035202e-01 -3.40269285733397930e-01  -8.03641530052035202e-01 3.40269285733397930e-01
MINIMAL     4  3.05371904834991881e-01 -2.87028989133365586e+00  3.05371904834991881e-01 2.87028989133365586e+00  3.88183964968684889e-02 -7.12236095657419632e-01  3.88183964968684889e-02 7.12236095657419632e-01
NONREAL     4  7.10936396353656797e-01 8.99264223544327890e-01  -1.57549278852785202e+00 -2.77439242818444509e-01  1.72152461411777896e-01 2.02319485867884702e-01  -6.07645147403064745e-01 -7.34108287063434894e-01
NONREAL     4  7.91979798024737502e-01 8.17091061067303226e-01  -1.46789395674188872e+00 1.02245279202216169e-01  1.97203678957839773e-01 1.96946326380436604e-01  -5.56056397213926967e-01 2.31337459591209771e-01
PARTIAL     4  6.69493429418197783e-01 4.30449048307165767e-57  -1.30048886186154244e+00 -4.31995986427489526e-58  -7.30734031305649512e-01 3.87460425513543316e-01  -7.30734031305649512e-01 -3.87460425513543316e-01
NONREAL     4  -1.46789395674188872e+00 -1.02245279202216169e-01  7.91979798024737502e-01 -8.17091061067303226e-01  -5.56056397213926967e-01 -2.31337459591209771e-01  1.97203678957839773e-01 -1.96946326380436604e-01
NONREAL     4  -1.57549278852785202e+00 2.77439242818444509e-01  7.10936396353656797e-01 -8.99264223544327890e-01  1.72152461411777896e-01 -2.02319485867884702e-01  -6.07645147403064745e-01 7.34108287063434894e-01
