# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  5.79388728304658707e-01 -1.35625065259036170e-01  5.79388728304658707e-01 1.35625065259036170e-01  2.01225680738478241e+00 -1.97162578705398652e-50  -7.33973869264184647e-02 9.41947254175943925e-52
MINIMAL     4  3.37484259237117237e-02 -1.46964954250831614e-01  3.37484259237117237e-02 1.46964954250831614e-01  -3.60695771101257473e-02 8.54181944473104832e-02  -3.60695771101257473e-02 -8.54181944473104832e-02
MINIMAL     4  1.05169240475098946e+00 -1.91322802381235424e+00  1.05169240475098946e+00 1.91322802381235424e+00  3.67098903182704661e-01 8.78112682064394301e-01  3.67098903182704661e-01 -8.78112682064394301e-01
TOTALLY     4  3.28551344361176390e-01 1.56100360029460923e-65  -8.77550801625063714e-01 3.10200999126104869e-64  -9.30529936390185330e-02 6.48310582597927758e-65  -1.14264702561485110e+00 -1.19235704314794088e-64
PARTIAL     4  1.78451213887381083e-01 2.24567169451939802e-01  1.78451213887381083e-01 -2.24567169451939802e-01  1.25660521914475493e-01 1.80291591927503530e-62  -5.21289253755796503e-02 -8.36907458759128233e-63
MINIMAL     4  8.12127075056627956e-01 -3.19058864240588047e+00  8.12127075056627956e-01 3.19058864240588047e+00  1.24468548507668225e-01 9.28507734886819591e-01  1.24468548507668225e-01 -9.28507734886819591e-01
TOTALLY     4  1.22412774135547942e+00 7.44535287764071825e-43  -4.97765608621018874e-01 -5.52494643884175274e-42  1.00767708725118137e+01 3.11063905201107905e-40  -1.80549412336912213e-01 -4.33790555511800708e-43
MINIMAL     4  -3.34038603570127768e-01 5.38113871026119295e-01  -3.34038603570127768e-01 -5.38113871026119295e-01  -2.66720586222116474e-01 2.28504536746178100e-01  -2.66720586222116474e-01 -2.28504536746178100e-01
MINIMAL     4  -6.05347939392551604e-01 1.21348555224755073e+00  -6.05347939392551604e-01 -1.21348555224755073e+00  -2.82761669515470493e-01 5.89348258608053510e-01  -2.82761669515470493e-01 -5.89348258608053510e-01
MINIMAL     4  -1.93469799164069145e-01 3.82064242665887843e-01  -1.93469799164069145e-01 -3.82064242665887843e-01  -1.58656055210447150e-01 -1.80325828586396147e-01  -1.58656055210447150e-01 1.80325828586396147e-01
