# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  2.79875592135492950e-02 -2.85901397002836594e-61  1.02189279988025561e+00 1.01265633966110319e-61  -1.27651711810379181e-01 -3.44864771724093426e-62  2.87711442218382274e+00 1.78423155205546103e-60
TOTALLY     4  1.92412972995929604e-01 -1.80457228320228755e-59  5.45986344760132636e-03 -1.37232499752284940e-58  1.16389871375909545e-01 -7.23177109256450879e-59  -1.28593379027983873e-01 -7.31018981839518958e-60
MINIMAL     4  7.92823617005821379e-01 -3.27125686075165412e+00  7.92823617005821379e-01 3.27125686075165412e+00  1.22378484917057107e-01 9.33691632151219753e-01  1.22378484917057107e-01 -9.33691632151219753e-01
MINIMAL     4  1.06159049358022961e+00 -1.91242207211640514e+00  1.06159049358022961e+00 1.91242207211640514e+00  3.80531028676856065e-01 -8.85085678406805854e-01  3.80531028676856065e-01 8.85085678406805854e-01
TOTALLY     4  1.25793133703219873e-01 9.17902119143082423e-58  -8.93939685748438573e-02 -5.02166605343229025e-59  3.72379857176990056e-02 4.98564692611479293e-58  -1.32550260424348670e-01 -4.46470182999914937e-59
TOTALLY     4  1.17311787407112300e+00 -2.14419954146019126e-48  -2.80555397064117307e-01 5.94537852141102791e-48  4.77511696467970292e+00 -6.57074936866011463e-47  -1.66226835446683208e-01 7.66046670020264144e-49
TOTALLY     4  3.25786593359105522e-02 -9.74073713760997599e-56  -6.76105203617110684e-01 9.36254394606630430e-56  -8.39543222488253416e-01 3.89383420292408991e-56  -1.26909911111783708e-01 -1.03574273893266434e-56
PARTIAL     4  -3.48641134269875086e-01 3.79173450591284822e-01  -3.48641134269875086e-01 -3.79173450591284822e-01  -4.30543949885288380e-01 -7.40933409468846843e-57  -2.74765514993373150e-01 2.58077442974066182e-57
MINIMAL     4  -6.32023464983616057e-01 1.26294990589553957e+00  -6.32023464983616057e-01 -1.26294990589553957e+00  -2.86041590392062561e-01 6.12749649999625223e-01  -2.86041590392062561e-01 -6.12749649999625223e-01
PARTIAL     4  -5.95297474535810972e-02 1.00568691066537388e-01  -5.95297474535810972e-02 -1.00568691066537388e-01  -9.67622751345886545e-02 4.40663010034503778e-56  -8.10197613003511702e-02 -3.89428824294552291e-56
