# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.04718127217858648e-01 5.94519584067692786e-01  7.04718127217858648e-01 -5.94519584067692786e-01  2.33162639105759828e+00 1.08373834693862548e-54  -5.15264386037437738e-01 3.28496016332443185e-56
TOTALLY     4  9.42394211450071184e-01 3.81470169792435808e-61  3.59194836049138067e+00 3.00344911972628529e-59  -5.42229158813215872e-01 6.24080373196896985e-62  2.51839189387513873e-01 -2.29538328363887288e-61
NONREAL     4  1.48156802525240550e+00 -1.60928578837490552e-02  -8.25763376974645746e-01 8.67342484894385257e-01  3.11617583874653159e-01 -1.74183628598174253e-02  -6.27153339641397523e-01 -1.32707214073067958e+00
MINIMAL     4  -4.19340451083581478e-01 1.25081675063566933e+00  -4.19340451083581478e-01 -1.25081675063566933e+00  -4.62681108108282391e-02 3.30926600611765265e-01  -4.62681108108282391e-02 -3.30926600611765265e-01
TOTALLY     4  8.12396726464383434e-01 -3.17573163549980423e-61  -1.37672850479788007e+01 5.88567664331100372e-59  -5.73179363046237955e-01 -2.39492940657036618e-61  1.71551331801649276e-01 -1.02179421185949089e-61
NONREAL     4  1.48156802525240550e+00 1.60928578837490552e-02  -8.25763376974645746e-01 -8.67342484894385257e-01  3.11617583874653159e-01 1.74183628598174253e-02  -6.27153339641397523e-01 1.32707214073067958e+00
TOTALLY     4  1.52502627857309969e+00 -1.59517454045198517e-61  -1.55914896920807111e+00 -1.08993102566730717e-60  -1.01968355799730048e+00 2.75368180066489751e-61  3.24561750582046837e-01 -1.61874809029903331e-61
TOTALLY     4  2.84147818432039012e-01 -3.11132675046482632e-63  -1.92132776148521023e+00 3.95184177479571333e-63  -5.13301688688959715e-02 -3.06571764812367159e-63  -8.68012559280895490e-01 -1.14390038043288930e-63
NONREAL     4  4.35203060168528610e-01 6.48002267729805737e-01  -1.82273314634136296e+00 3.20322588289933263e-02  -2.89226447104981577e-01 -3.29269364305106282e-01  -8.89355868468602484e-01 3.21640758207376101e-02
NONREAL     4  -1.82273314634136296e+00 -3.20322588289933263e-02  4.35203060168528610e-01 -6.48002267729805737e-01  -8.89355868468602484e-01 -3.21640758207376101e-02  -2.89226447104981577e-01 3.29269364305106282e-01
