# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.20191111187548150e+00 1.53377693045569409e-44  -4.09259951440184067e-01 -6.69999387815311412e-44  7.40801206238963683e+00 1.91183157707070164e-42  -1.78492443725136507e-01 -7.17167165291069229e-45
MINIMAL     4  7.54929288747303695e-01 3.29098362121513377e+00  7.54929288747303695e-01 -3.29098362121513377e+00  1.15906111173888340e-01 -9.34276718684873719e-01  1.15906111173888340e-01 9.34276718684873719e-01
TOTALLY     4  8.28077600017869564e-01 -5.57415868596474147e-65  2.92191153482988519e-01 1.43632074067113212e-64  -9.75035853393634855e-02 2.89869971536042185e-66  2.35638207855648441e+00 9.15560261146252612e-65
MINIMAL     4  1.05287735097222357e+00 -1.89499973073633399e+00  1.05287735097222357e+00 1.89499973073633399e+00  3.82498952454230157e-01 -8.80442228143745065e-01  3.82498952454230157e-01 8.80442228143745065e-01
NONREAL     4  1.07724740744668090e-01 -9.17574093624006770e-02  6.44810182704135121e-02 1.51519678580157607e-01  4.65757773103140163e-02 3.76089196060962194e-02  -8.26522683854191975e-02 -6.83973421056978999e-03
NONREAL     4  1.07724740744668090e-01 9.17574093624006770e-02  6.44810182704135121e-02 -1.51519678580157607e-01  4.65757773103140163e-02 -3.76089196060962194e-02  -8.26522683854191975e-02 6.83973421056978999e-03
TOTALLY     4  2.31774202459590517e-01 1.40106711204867315e-62  -8.02324819593287275e-01 -4.01888985155654158e-62  -1.05337161532959828e-01 3.47979373216587655e-63  -9.93940255832040376e-01 -3.18282079257560574e-62
MINIMAL     4  -1.92670917867989289e-01 3.34503068034591622e-01  -1.92670917867989289e-01 -3.34503068034591622e-01  -1.76005415389296954e-01 -1.47047192971541091e-01  -1.76005415389296954e-01 1.47047192971541091e-01
MINIMAL     4  -2.89578843556179577e-01 4.25586405266859702e-01  -2.89578843556179577e-01 -4.25586405266859702e-01  -2.58358604048299134e-01 -1.63820587234513898e-01  -2.58358604048299134e-01 1.63820587234513898e-01
MINIMAL     4  -6.39017022238394405e-01 1.32083632848096277e+00  -6.39017022238394405e-01 -1.32083632848096277e+00  -2.68862580483650138e-01 6.37567543003585757e-01  -2.68862580483650138e-01 -6.37567543003585757e-01
