# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  6.94599285481910633e-01 6.31812359334297723e-61  2.40652995840421075e-01 -6.47861924412283200e-61  1.97612323496626524e-01 3.53730685839083570e-63  -1.57227562277363286e-01 -1.26560494663084776e-62
MINIMAL     4  7.31378509262393117e-01 -7.53253714111728367e-01  7.31378509262393117e-01 7.53253714111728367e-01  7.20913190850905772e-01 3.89660243814280993e-02  7.20913190850905772e-01 -3.89660243814280993e-02
PARTIAL     4  7.08614399716017140e-01 -1.91866766781953602e-63  -1.03405028093717410e+00 -8.65256685416913718e-63  -1.72178751932810625e-01 -7.43726969376942298e-02  -1.72178751932810625e-01 7.43726969376942298e-02
TOTALLY     4  1.09740018076911361e+00 1.00420675599921803e-58  -1.36704349245242285e+00 1.67125893847313671e-59  -1.20383837522262005e+00 -5.55494231952226406e-59  -4.80644664718105352e-01 -5.70290031222784707e-59
PARTIAL     4  6.28513247488021065e-01 -1.05103368726717425e-01  6.28513247488021065e-01 1.05103368726717425e-01  -1.58690889707252869e-01 1.52883939688547959e-64  2.25774077181906829e+00 -1.88126903097274073e-61
MINIMAL     4  3.89958741855601143e-01 -2.08656167464027043e+00  3.89958741855601143e-01 2.08656167464027043e+00  4.65043963247688437e-03 -6.41735339930128879e-01  4.65043963247688437e-03 6.41735339930128879e-01
TOTALLY     4  7.31479185669427157e-01 3.60114744946715305e-62  -1.41365729427081299e+00 1.25770067146046441e-63  -1.85277756257279297e-01 -2.24124571575768202e-63  -8.74436291100314844e-01 -1.96990209981282770e-62
NONREAL     4  2.69013955064414001e-01 4.52817025753298408e-01  -1.37947660440872943e+00 -6.46441989058386679e-02  -8.90128418314982545e-02 3.25162057809678051e-01  -7.41187808336402520e-01 -4.20529467041176538e-02
MINIMAL     4  -4.72112701453238359e-01 4.95251471455819492e-01  -4.72112701453238359e-01 -4.95251471455819492e-01  -1.55404856082543619e-01 3.86824748506671423e-01  -1.55404856082543619e-01 -3.86824748506671423e-01
NONREAL     4  -1.37947660440872943e+00 6.46441989058386679e-02  2.69013955064414001e-01 -4.52817025753298408e-01  -7.41187808336402520e-01 4.20529467041176538e-02  -8.90128418314982545e-02 -3.25162057809678051e-01
