# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.59448838056685394e-01 -2.79731402182510636e-01  7.59448838056685394e-01 2.79731402182510636e-01  2.11394925952674173e+00 2.11587694401753436e-55  5.67441476160729263e-01 -1.61925732840309345e-56
TOTALLY     4  9.06106879390086384e-01 1.20413010879267002e-58  5.36073684075556889e-01 -1.20805660045327616e-58  5.41171745247658098e-01 -1.12245497703219600e-61  -6.04267038415428392e-01 -3.78776999474403977e-62
TOTALLY     4  9.34681851629218019e-01 1.12845357396053220e-59  5.31705636590503072e-01 -1.12605757441646023e-59  -6.04290235371052753e-01 -8.46363712496203913e-64  2.36228949298118351e+00 -2.13302245669620924e-61
NONREAL     4  8.45810735634639932e-01 8.62590930434094239e-02  -1.51490074560763177e+00 2.81035686921564526e-02  7.96881530709331876e-02 4.49983322482411727e-02  -7.47307852473533929e-01 2.45147661196093963e-01
TOTALLY     4  4.80875342413903228e-01 2.93460937733327342e-58  -1.47041506149246604e+00 -1.30907982655254519e-58  -4.11206987412743974e-01 -2.24470464982228794e-57  -2.45649616110117652e-01 1.72466448810441054e-57
PARTIAL     4  9.67271404462837880e-01 2.75470445257902796e-59  -1.50758077783448430e+00 -5.42548520989599844e-60  -8.07732092533972712e-01 3.16459001365729076e-01  -8.07732092533972712e-01 -3.16459001365729076e-01
NONREAL     4  8.45810735634639932e-01 -8.62590930434094239e-02  -1.51490074560763177e+00 -2.81035686921564526e-02  7.96881530709331876e-02 -4.49983322482411727e-02  -7.47307852473533929e-01 -2.45147661196093963e-01
PARTIAL     4  3.61004379051769464e-02 6.38704594359850125e-57  -1.19322302281985704e+00 -5.11431820659862435e-57  -1.88807276637099175e-01 3.54916893560639102e-01  -1.88807276637099175e-01 -3.54916893560639102e-01
PARTIAL     4  -1.41614195447506863e+00 -2.28141629785401534e-56  3.69723660630583206e-01 5.15091452022682550e-56  -2.56937872616778196e-01 -2.20609774883122223e-01  -2.56937872616778196e-01 2.20609774883122223e-01
PARTIAL     4  -1.50198353390183925e+00 7.40483078346938001e-60  5.22290263398185073e-01 -5.44072414494942111e-60  -5.29851869831388989e-01 1.24448700539549414e-01  -5.29851869831388989e-01 -1.24448700539549414e-01
