# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.24007262007929331e+00 -5.79000245155264361e-63  3.48322212043323698e-01 -9.73820072799617470e-62  2.49297761806971357e-01 8.96319079807620459e-65  -4.83458980537843974e-01 -3.46844756922205222e-63
TOTALLY     4  1.26303370316784025e+00 -3.34248235016523770e-63  1.44923747862959196e-01 3.49912781954986578e-62  2.47272523459809268e-01 5.62069151910301328e-65  4.37186193163499048e+00 -5.15263731390439563e-62
TOTALLY     4  1.20691602499301798e+00 2.49073457506168160e-51  2.38906501390521858e-01 -3.96089913346309436e-51  4.01551942468460954e+00 1.27125169566129553e-50  -4.84596194315244033e-01 -5.44391017537016445e-52
TOTALLY     4  1.24957972038388410e+00 -3.62187119015537468e-61  -1.49327361226279298e+00 -2.66323954097721405e-60  2.15381333168643246e-01 -1.32014980171272142e-61  -5.80234405273574394e-01 2.75518314680031395e-61
TOTALLY     4  8.12143322018309299e-01 -5.23118990340982439e-63  -2.06360173607039155e+00 1.79088542203812050e-62  -3.32745897691927139e-01 -2.39596213834747359e-63  3.73517237500390897e-02 4.60402860104063445e-63
TOTALLY     4  1.26053297816474719e+00 2.61384219344909673e-56  -1.36057105013668567e+00 1.35395298437638280e-56  -1.89522862508845158e+00 -3.82292590302571292e-56  2.19917738284477610e-01 7.86369233263747445e-57
TOTALLY     4  1.20250004829007273e+00 -1.23069356360744166e-61  -1.39624823160422573e+00 1.09874212036607976e-61  -5.56519333428214469e-01 9.67993279910433412e-62  -1.74394795663382718e+00 -5.58670305158132165e-62
PARTIAL     4  -1.11920231171062645e+00 2.44276422203399136e-62  -4.76935920838132826e-02 -2.64469748951121483e-62  -8.28589706639510787e-02 3.00255723991283197e-01  -8.28589706639510787e-02 -3.00255723991283197e-01
NONREAL     4  2.09007587726365823e-01 -3.04984418445573870e-02  -1.39069114652899484e+00 7.96303769335197920e-03  -1.02304402771242808e-01 2.63704424467977150e-01  -1.11875867367701698e+00 4.27793912222767039e-03
NONREAL     4  -1.39069114652899484e+00 -7.96303769335197920e-03  2.09007587726365823e-01 3.04984418445573870e-02  -1.11875867367701698e+00 -4.27793912222767039e-03  -1.02304402771242808e-01 -2.63704424467977150e-01
