# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.23025222732463035e+00 1.96745621946341790e-50  1.04251979809005732e-01 -3.50730362259641571e-50  4.15720097793127241e+00 1.60438550187537998e-49  -5.02781785854546470e-01 -4.18808099324098638e-51
PARTIAL     4  8.67541763647564856e-01 -7.71919544223261256e-01  8.67541763647564856e-01 7.71919544223261256e-01  7.31942084822684969e-01 -8.18886518803483817e-60  1.81155075744455529e+00 2.11408833278518928e-59
TOTALLY     4  1.05783032858448700e+00 1.33876120665264238e-62  1.06326824612775594e-01 -1.28391457443250703e-62  -5.02712613947266851e-01 -2.47545831308634643e-65  5.03443529696979031e-01 2.93094441605955164e-64
TOTALLY     4  8.72102188256325128e-01 1.02756413238548279e-60  -1.16923727495773644e+00 -1.73551781825355370e-61  1.72694645433231486e-01 3.79785707737456406e-61  -7.05213297267742623e-01 3.36969253753359910e-60
TOTALLY     4  7.05044927057785542e-01 6.05370279137005721e-58  -1.23919506218569508e+00 -1.83512576596283965e-58  9.82030265877110592e-02 2.72990790027715825e-58  -8.34961683047622527e-01 -2.89653529384848816e-58
TOTALLY     4  8.12688439338467156e-02 4.74428805168095849e-58  -1.04781544003796134e+00 -3.83940858740423756e-58  -2.84119941690130828e-01 5.67358026113515337e-58  -4.56673701516779607e-01 -7.92404448751762221e-58
MINIMAL     4  -6.56449980311978765e-01 -1.68737695856579761e+00  -6.56449980311978765e-01 1.68737695856579761e+00  -1.04298537095120825e-01 5.90695369817176741e-01  -1.04298537095120825e-01 -5.90695369817176741e-01
MINIMAL     4  -5.25638885515801513e-01 1.08259150754936431e-01  -5.25638885515801513e-01 -1.08259150754936431e-01  -2.80131760936980390e-01 2.85322045863329155e-01  -2.80131760936980390e-01 -2.85322045863329155e-01
PARTIAL     4  9.86936796947123496e-02 1.13353751528619240e-57  -1.10834988955061808e+00 -3.38233532063810501e-58  -4.97292117875519357e-01 5.75888557269745860e-02  -4.97292117875519357e-01 -5.75888557269745860e-02
TOTALLY     4  1.32029068584099418e+00 -3.03296634472924650e-59  -1.12996429698611967e+00 -3.66993151310158462e-60  -6.74933971211857608e-01 -2.44864810898472833e-60  -2.80772817872076752e+00 7.36350979826135435e-59
