# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  6.64533820283253585e-01 2.03569937579745758e-01  6.64533820283253585e-01 -2.03569937579745758e-01  -3.19229974472929057e-01 -4.92264020636849707e-63  2.37991768798235048e+00 9.58181575305148817e-61
PARTIAL     4  5.95100963247396697e-01 4.55830857700211930e-61  -9.10820389963294286e-01 6.80217822361103999e-62  -5.00925534300677322e-01 3.27445161803261234e-02  -5.00925534300677322e-01 -3.27445161803261234e-02
TOTALLY     4  9.60522365963958791e-01 1.29587142452303268e-59  -9.13239089835653606e-01 2.74084212773753646e-60  -1.04956760857063047e+00 -3.52619327362307954e-59  -5.73579742674281912e-01 1.38015379595588733e-59
PARTIAL     4  4.58111315911463257e-01 -6.34678050006014507e-63  -6.68391489046215148e-01 -2.88204639559267215e-63  -2.29252843921504912e-01 -1.25066851119660455e-01  -2.29252843921504912e-01 1.25066851119660455e-01
NONREAL     4  3.54836823040187266e-01 1.10099995547733087e+00  -1.22903772677977918e+00 -1.02907658035989913e+00  2.00699600990309791e-02 4.22230895954944396e-01  -1.98021446056310002e-01 -5.92959590380644275e-01
PARTIAL     4  5.22072130112104738e-01 2.28330115477453882e-01  5.22072130112104738e-01 -2.28330115477453882e-01  -3.17594756661004674e-01 8.02352447657864210e-64  2.63929770363826921e-01 3.35593761027331305e-63
PARTIAL     4  7.99767396670964636e-01 7.77047260009871787e-01  7.99767396670964636e-01 -7.77047260009871787e-01  1.05365844595676816e+00 1.51365637289878101e-56  5.25792310892856829e-01 -1.24600628912009027e-56
NONREAL     4  -1.22903772677977918e+00 1.02907658035989913e+00  3.54836823040187266e-01 -1.10099995547733087e+00  -1.98021446056310002e-01 5.92959590380644275e-01  2.00699600990309791e-02 -4.22230895954944396e-01
NONREAL     4  -9.14804817264195158e-01 6.64709079781879066e-03  5.02039209303284717e-01 4.69017480128474218e-01  -9.39537947963397201e-03 2.74268985197748894e-01  -5.59369818109648920e-01 6.07490829884273133e-03
NONREAL     4  -9.14804817264195158e-01 -6.64709079781879066e-03  5.02039209303284717e-01 -4.69017480128474218e-01  -9.39537947963397201e-03 -2.74268985197748894e-01  -5.59369818109648920e-01 -6.07490829884273133e-03
