# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  8.43873705362744975e-01 8.34302231717495957e-01  8.43873705362744975e-01 -8.34302231717495957e-01  4.93555799086828062e-02 -2.15240212895459478e-61  3.15171466624844587e+00 3.40845334013503410e-61
NONREAL     4  5.33598392967084001e-01 9.13950872147886728e-01  -1.51363627517421917e+00 -1.42484120073035153e-01  4.29216526126728476e-02 4.32698963954078142e-01  -8.28001124979144576e-01 -1.62225438853777937e-01
NONREAL     4  4.08506610797369107e-01 7.54581262463662639e-01  -1.04743815002131391e+00 -2.93389261223369391e-01  1.11502978276283599e-02 4.07863281529642518e-01  -2.90602573026942590e-01 -4.17297258801108961e-01
MINIMAL     4  6.18807247395539273e-01 7.08868335402948468e-01  6.18807247395539273e-01 -7.08868335402948468e-01  1.01137755532911822e-01 1.36938839795204909e-01  1.01137755532911822e-01 -1.36938839795204909e-01
NONREAL     4  9.86185627524908681e-01 4.92697796263807275e-01  -1.51682509474146876e+00 3.87428165432914667e-02  -4.36930647675970452e-01 -2.14067504111564083e-01  -1.05529904684732601e+00 -3.77127043086397551e-01
PARTIAL     4  9.04488111789092941e-01 1.03110324786907803e+00  9.04488111789092941e-01 -1.03110324786907803e+00  2.23919378436956507e+00 1.58934730323279046e-54  3.86707668026584239e-01 -8.10365384790828630e-55
MINIMAL     4  5.70728437919999831e-01 2.79212462337253786e+00  5.70728437919999831e-01 -2.79212462337253786e+00  9.42171294929412539e-02 8.32637726818785451e-01  9.42171294929412539e-02 -8.32637726818785451e-01
NONREAL     4  -1.04743815002131391e+00 2.93389261223369391e-01  4.08506610797369107e-01 -7.54581262463662639e-01  -2.90602573026942590e-01 4.17297258801108961e-01  1.11502978276283599e-02 -4.07863281529642518e-01
NONREAL     4  9.86185627524908681e-01 -4.92697796263807275e-01  -1.51682509474146876e+00 -3.87428165432914667e-02  -1.05529904684732601e+00 3.77127043086397551e-01  -4.36930647675970452e-01 2.14067504111564083e-01
NONREAL     4  -1.51363627517421917e+00 1.42484120073035153e-01  5.33598392967084001e-01 -9.13950872147886728e-01  -8.28001124979144576e-01 1.62225438853777937e-01  4.29216526126728476e-02 -4.32698963954078142e-01
