# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  8.67364902303119911e-01 4.98480497342288685e-63  -6.22713772690052902e-01 1.10510511095313964e-61  7.30787650447952547e-02 9.20953893260609946e-01  7.30787650447952547e-02 -9.20953893260609946e-01
PARTIAL     4  1.48868682052123641e-01 -1.35743223793591339e+00  1.48868682052123641e-01 1.35743223793591339e+00  1.43928187888141634e+00 -4.72165649261014629e-60  -1.33804609397802068e+01 2.68804356910970344e-60
PARTIAL     4  8.95000242072332308e-01 3.20401440066950873e-64  -1.24809966589713994e+00 -3.60402786077763704e-63  -2.29588918400336434e-01 1.29801718417601175e+00  -2.29588918400336434e-01 -1.29801718417601175e+00
NONREAL     4  5.67435096348520407e-01 2.94841019600610654e-01  -1.22976140863230854e+00 1.16985709958889483e+00  -4.06120116762516359e-01 -6.21511556774642870e-01  -9.06114452942147608e+00 -4.85712780949626399e+00
PARTIAL     4  7.23189018476383350e+00 8.11474607878314013e-61  -1.18768950996639333e+01 7.13037376679503783e-61  1.95292305287080992e+00 7.99942278145886387e+00  1.95292305287080992e+00 -7.99942278145886387e+00
MINIMAL     4  -1.42158324859514829e+00 1.85999325375046332e+00  -1.42158324859514829e+00 -1.85999325375046332e+00  -4.10920790050780571e+00 4.31295548018036001e+00  -4.10920790050780571e+00 -4.31295548018036001e+00
PARTIAL     4  -5.16899063142326143e-01 -7.18677720284810917e-01  -5.16899063142326143e-01 7.18677720284810917e-01  3.49303704279483429e-01 1.45195431815307456e-61  -7.91717717284382250e+00 -4.32504957397771897e-59
NONREAL     4  -1.22976140863230854e+00 -1.16985709958889483e+00  5.67435096348520407e-01 -2.94841019600610654e-01  -9.06114452942147608e+00 4.85712780949626399e+00  -4.06120116762516359e-01 6.21511556774642870e-01
PARTIAL     4  -3.22372009317960451e-01 8.28347534077153114e-01  -3.22372009317960451e-01 -8.28347534077153114e-01  4.68207415478018640e-01 2.18557290318097917e-58  -9.45820652593683420e+00 -3.27595391845556295e-57
PARTIAL     4  -7.90216381450066230e-01 4.09520095751871149e-01  -7.90216381450066230e-01 -4.09520095751871149e-01  2.42668600012361013e-01 -7.66897055491963562e-63  -4.18332090045350657e+00 1.35715278033934033e-61
