# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  8.20900768422986649e-01 -5.33491037184316341e-01  8.20900768422986649e-01 5.33491037184316341e-01  6.05597723059661197e-01 9.99067004459195644e-64  -6.90746899428968830e-01 2.84059281888977542e-63
NONREAL     4  4.31031511685354252e-01 4.37516249707870453e-01  -1.63641826012920744e+00 -3.55389027302103200e-01  6.12601091993525970e-02 1.29191693998109730e-01  -7.67088114752013439e-01 2.16974937395709389e-01
NONREAL     4  6.80378811455531696e-01 7.87363467972864384e-01  -1.70615590836557995e+00 5.15260912270326943e-02  -8.40500101873458139e-01 1.61553074522248707e-01  -4.70626392680693229e-01 -6.78362988105448039e-01
NONREAL     4  1.40931877234922753e+00 -5.41324469876257111e-02  -8.53934494992127924e-01 -6.15446371338635445e-01  3.90773568060823195e-01 -8.11719340185522165e-02  -7.27896162073835118e-01 2.10258503258067853e+00
NONREAL     4  4.31031511685354252e-01 -4.37516249707870453e-01  -1.63641826012920744e+00 3.55389027302103200e-01  6.12601091993525970e-02 -1.29191693998109730e-01  -7.67088114752013439e-01 -2.16974937395709389e-01
NONREAL     4  6.80378811455531696e-01 -7.87363467972864384e-01  -1.70615590836557995e+00 -5.15260912270326943e-02  -8.40500101873458139e-01 -1.61553074522248707e-01  -4.70626392680693229e-01 6.78362988105448039e-01
PARTIAL     4  7.33454560585995230e-01 6.43259040308840069e-01  7.33454560585995230e-01 -6.43259040308840069e-01  1.86771139283571008e+00 -8.48477686710489768e-57  -6.87490001306407472e-01 -1.08169765144290511e-58
NONREAL     4  -8.53934494992127924e-01 6.15446371338635445e-01  1.40931877234922753e+00 5.41324469876257111e-02  3.90773568060823195e-01 8.11719340185522165e-02  -7.27896162073835118e-01 -2.10258503258067853e+00
MINIMAL     4  -6.29619997504649032e-01 1.47866339749576015e+00  -6.29619997504649032e-01 -1.47866339749576015e+00  -9.02246263218247357e-02 4.51228064146506347e-01  -9.02246263218247357e-02 -4.51228064146506347e-01
TOTALLY     4  -1.27032351080153605e+00 1.79643782376592937e-59  1.23463750886097401e+00 4.82401538856424706e-60  3.21235168153329198e-01 3.23985907922079265e-60  -1.24405091395325562e+00 2.30314797269711737e-59
