# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.80566387852280719e-01 7.82461406124658199e-01  7.80566387852280719e-01 -7.82461406124658199e-01  2.02835284568493046e+00 2.34939122793369736e-55  6.79289954646581817e-01 -1.39081805422461202e-55
TOTALLY     4  9.36960688030268218e-01 -1.79403782145610699e-61  3.72321876973270904e-01 1.14585126359418179e-61  -3.20411649497131523e-01 1.50965053293805043e-63  7.21152801250026432e+00 -3.75155729970668285e-61
TOTALLY     4  8.34895214125507823e-01 -1.22740033862949650e-62  2.50942853002748156e-01 1.42406842612378035e-62  -3.21703410464800166e-01 -6.86443949157624609e-65  4.12902840520113779e-01 9.55123177580268362e-64
NONREAL     4  4.85404420736207209e-01 -3.50568747684034843e-01  -1.61850911093609895e+00 2.13902760115447510e-02  -6.18929226271864447e-03 -2.00347602933472146e-01  -8.78433279041588633e-01 2.57448609664155705e-02
TOTALLY     4  1.06325220108972163e+00 -2.14790030792512147e-58  -1.59976327280544584e+00 -5.91875815993272892e-59  -5.71059097535536853e-01 1.14340818600323756e-58  -1.03275533893598936e+00 7.26162527606550334e-59
PARTIAL     4  -9.01628848741486744e-01 1.11616891816272387e-61  -2.06033499470833381e-01 -1.40911581877575535e-61  -1.28738855764497367e-01 2.94335388448226043e-01  -1.28738855764497367e-01 -2.94335388448226043e-01
MINIMAL     4  5.23107577343710273e-01 2.33736117854136571e+00  5.23107577343710273e-01 -2.33736117854136571e+00  5.84694587432159629e-02 -6.81739961681221640e-01  5.84694587432159629e-02 6.81739961681221640e-01
TOTALLY     4  -1.31456894821996073e+00 3.59121977699797575e-64  7.73008843503447229e-01 -8.53787309057774937e-63  7.34051489662446432e-02 -5.54460775328666372e-63  -3.99500725366954801e-01 4.48129226662611980e-63
NONREAL     4  4.85404420736207209e-01 3.50568747684034843e-01  -1.61850911093609895e+00 -2.13902760115447510e-02  -6.18929226271864447e-03 2.00347602933472146e-01  -8.78433279041588633e-01 -2.57448609664155705e-02
TOTALLY     4  5.43973301710065971e-01 8.84873943392541728e-59  -1.61431109070782552e+00 -5.70860448613658080e-60  -8.95406067978822828e-01 -7.83051681761972575e-60  -1.82967734006901139e-01 4.53316404613039818e-59
