# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.10540606511882000e-01 -4.76635228188466153e-01  7.10540606511882000e-01 4.76635228188466153e-01  3.75312057037487656e-01 -8.83313998632796883e-63  3.77415760122222244e+00 2.30948182252243053e-61
NONREAL     4  9.86431044465209794e-01 -5.76963992883693447e-02  -4.72982603977175564e-01 -6.13892914363675768e-01  -4.39798362263288001e-01 -1.22829665879656727e-01  3.04045849819602476e-01 -5.69587492632521661e-02
NONREAL     4  1.40847307200862115e+00 -6.00475681851554352e-02  -4.47524724741655500e-01 6.19626696948034517e-01  -4.37160197876325818e-01 1.18862417810545865e-01  -3.65843901467618027e-01 -2.91517282205125561e+00
NONREAL     4  9.86431044465209794e-01 5.76963992883693447e-02  -4.72982603977175564e-01 6.13892914363675768e-01  3.04045849819602476e-01 5.69587492632521661e-02  -4.39798362263288001e-01 1.22829665879656727e-01
TOTALLY     4  7.62193831789163667e-01 3.78411456450794510e-59  -8.28057818520560041e-01 -5.42352946985173646e-60  -1.10051992112966479e+00 -7.15476032655337437e-59  2.37601418126368619e-01 7.89421834282296858e-60
NONREAL     4  1.40847307200862115e+00 6.00475681851554352e-02  -4.47524724741655500e-01 -6.19626696948034517e-01  -3.65843901467618027e-01 2.91517282205125561e+00  -4.37160197876325818e-01 -1.18862417810545865e-01
MINIMAL     4  -3.77646677420699795e-01 7.36616931984889867e-01  -3.77646677420699795e-01 -7.36616931984889867e-01  -2.19465083948654771e-01 1.20439342280590792e-01  -2.19465083948654771e-01 -1.20439342280590792e-01
MINIMAL     4  -4.27349230824416837e-01 6.40819561073551536e-01  -4.27349230824416837e-01 -6.40819561073551536e-01  -3.51094140122184262e-01 1.23623547722429533e-01  -3.51094140122184262e-01 -1.23623547722429533e-01
MINIMAL     4  -3.47578375420216190e-01 1.34260718269527657e+00  -3.47578375420216190e-01 -1.34260718269527657e+00  -8.77370753553560201e-02 -3.80334401479534789e-01  -8.77370753553560201e-02 3.80334401479534789e-01
MINIMAL     4  -3.74794780492399282e-01 8.01212852855146096e-01  -3.74794780492399282e-01 -8.01212852855146096e-01  -1.94268743827440082e-01 -1.76610405129877718e-01  -1.94268743827440082e-01 1.76610405129877718e-01
