# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.24585271144465626e+00 6.15932620172951746e-62  -1.41515430033580220e-01 2.64514316074404780e-62  1.00794441275133387e-01 -2.86525172193921253e-63  3.41782250430571199e+00 2.23181911569331493e-61
TOTALLY     4  1.62203601342808512e+00 2.18199778495696552e-59  1.40607296741117216e-01 6.93186308141193986e-61  7.06865201800116749e-02 -1.96355386958028379e-59  -2.83340179037723461e-01 1.98611333537277267e-59
TOTALLY     4  1.09228226079999713e+00 1.65167473466424408e-62  1.50027933939381852e-01 -1.06694172828146445e-62  -2.82342117891644706e-01 1.60653165784652709e-63  2.57768323563478852e+00 -3.95288012546318387e-63
TOTALLY     4  1.28287737361397469e+00 -1.84371268093617692e-61  -1.26883708865417133e+00 2.67203600952996383e-61  2.08384993007666386e-01 -3.90764416135297511e-62  -2.78800257953263797e+00 1.21966070386382622e-60
TOTALLY     4  1.36265678842332338e+00 1.39439377432190855e-62  -1.61020448378744074e+00 3.57555829846140187e-62  -6.66907813388554871e-01 1.27676756489326964e-62  2.38959300305662703e-01 -1.54892138574919986e-63
TOTALLY     4  9.39836971039301194e-01 2.32208108065519544e-60  -1.53344573136834539e+00 -2.03087257067851819e-61  -5.91476307200493490e-01 -7.87311876303146590e-61  -1.39926009214939473e+00 -1.44634470560704120e-60
TOTALLY     4  -1.51803926595344318e+00 -1.35495606175993649e-61  1.72696618458516998e-01 1.91313431714242518e-60  -3.21716049143345006e-01 -8.95825962141603429e-61  -9.43195602096308150e-01 -7.52573496860359026e-61
TOTALLY     4  6.63109423470604614e-02 1.67733406826519844e-57  -1.49788170009176391e+00 -2.77255789552180718e-58  -1.47538149393115964e-01 -2.70606414396926891e-57  -9.25574519208461677e-01 -3.70897545634547441e-58
TOTALLY     4  1.36422577609079804e-01 2.41191453210706628e-63  -2.09629111653682143e+00 -5.65029340497660199e-63  -3.00748605198811414e-01 -2.59573209001051260e-62  -1.01561621523867288e-01 2.83289551182407690e-62
MINIMAL     4  -2.08744192663407907e-01 1.27264578031408360e+00  -2.08744192663407907e-01 -1.27264578031408360e+00  -1.23938865789085501e-01 -3.45551432928299151e-01  -1.23938865789085501e-01 3.45551432928299151e-01
