# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
NONREAL     4  1.31453159149341547e+00 1.74030899418800601e-02  -6.69697225025295717e-01 -4.83755531367537517e-01  -8.61357359996795191e-01 3.12978818838054007e+00  2.75952866850445566e-01 1.68555273273452814e-02
PARTIAL     4  7.36713519879415135e-01 -6.35501896924132503e-01  7.36713519879415135e-01 6.35501896924132503e-01  -2.55893909565415190e-01 -3.23577848548709541e-61  1.70396914837195257e+00 -8.83957138868959482e-60
NONREAL     4  1.31453159149341547e+00 -1.74030899418800601e-02  -6.69697225025295717e-01 4.83755531367537517e-01  2.75952866850445566e-01 -1.68555273273452814e-02  -8.61357359996795191e-01 -3.12978818838054007e+00
NONREAL     4  1.01829408632159768e+00 6.18334136795763989e-02  1.09512720284786896e-01 -2.41986022790374822e+00  2.17326705026231970e-01 5.10151856623053609e-02  -3.00126827077205061e-01 6.86701242840490195e-02
NONREAL     4  3.15610130691922341e-01 -7.69804609189416400e-01  -1.61591509282955603e+00 1.25747767539414190e-01  -1.19395712359777728e+00 1.21329264735137804e-01  -1.17339219759978811e-01 3.25212887569866382e-01
NONREAL     4  1.09512720284786896e-01 2.41986022790374822e+00  1.01829408632159768e+00 -6.18334136795763989e-02  -3.00126827077205061e-01 -6.86701242840490195e-02  2.17326705026231970e-01 -5.10151856623053609e-02
MINIMAL     4  -2.30609773862729489e-01 1.23288309841175581e+00  -2.30609773862729489e-01 -1.23288309841175581e+00  1.66900908099634031e-02 3.50836528160350825e-01  1.66900908099634031e-02 -3.50836528160350825e-01
TOTALLY     4  5.80676110887742292e-01 -1.92666227901007226e-63  -1.46738600989432055e+00 -1.42841510300253260e-61  -2.42169798352341835e-02 1.90442222998609181e-63  -1.39210387055592077e+00 7.36677640701743666e-62
NONREAL     4  3.15610130691922341e-01 7.69804609189416400e-01  -1.61591509282955603e+00 -1.25747767539414190e-01  -1.19395712359777728e+00 -1.21329264735137804e-01  -1.17339219759978811e-01 -3.25212887569866382e-01
TOTALLY     4  -3.42860846889373327e+00 3.11843103916038494e-60  1.54685405578469926e+00 7.97587691821469181e-61  -5.97855813668224378e-01 1.68891651779666286e-60  3.59374701812690156e-01 -2.85398396131291132e-62
