# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.57869702263063494e-01 -1.68939464741172468e-01  7.57869702263063494e-01 1.68939464741172468e-01  1.34710099844541908e-01 -3.83336666975703909e-60  6.21717647051572886e+00 6.91614422541251036e-60
TOTALLY     4  6.08210163026722483e-01 1.28684815864668081e-59  8.86389159656855163e-01 -1.35857386895636629e-59  -1.87056038884599596e-02 -2.42844020053664513e-62  6.90866928751515008e+00 2.09605128260680081e-59
TOTALLY     4  4.29622049944458573e-01 -5.44262889334131075e-60  9.46392985765616923e-01 2.44630310980629826e-60  -1.02247402128543552e-02 -2.77984377606033884e-58  9.74821037359837050e-02 2.76915838048708577e-58
TOTALLY     4  9.84154339322084737e-01 8.46590310090775134e-58  -1.41111860954470680e+00 1.56361265560188804e-58  -1.73928442905808056e-01 -2.20032438878239972e-57  -1.17923821283045016e+00 -6.93347892890065167e-58
MINIMAL     4  5.35041496164371688e-01 2.31806890261122689e+00  5.35041496164371688e-01 -2.31806890261122689e+00  2.36680945339251859e-02 -7.61093378919326491e-01  2.36680945339251859e-02 7.61093378919326491e-01
PARTIAL     4  3.35615345732227566e-01 -2.96919485942739446e-58  -1.24055463170737768e+00 9.66134193117092969e-59  -1.79283324068803235e-01 3.68125755921126285e-01  -1.79283324068803235e-01 -3.68125755921126285e-01
NONREAL     4  4.36471353244442584e-01 1.49821046862854718e-01  -1.39818410652217229e+00 -2.10925893836041538e-02  -9.68677277887532440e-01 -2.68356282200540829e-02  -1.49074949637106074e-01 3.48202153347177967e-01
NONREAL     4  4.36471353244442584e-01 -1.49821046862854718e-01  -1.39818410652217229e+00 2.10925893836041538e-02  -9.68677277887532440e-01 2.68356282200540829e-02  -1.49074949637106074e-01 -3.48202153347177967e-01
TOTALLY     4  -1.40185508307604989e+00 -1.33740958365164838e-60  1.03588930977656668e+00 1.04577160786962229e-59  -3.14160759673790146e-01 -2.38564918927392178e-59  -1.21988226724617310e+00 -3.19604321220603139e-60
PARTIAL     4  -1.30387980013520877e+00 7.89736204687955159e-63  9.54118825056355369e-01 -1.37729297777088593e-62  -1.89072145994864632e-01 -9.29386077241549230e-02  -1.89072145994864632e-01 9.29386077241549230e-02
