# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  5.72987603300946557e-01 2.98992871751373700e-02  5.72987603300946557e-01 -2.98992871751373700e-02  5.03501585940086871e-01 9.46951579481777671e-60  -5.04093743053362298e-01 9.17347317808490912e-60
PARTIAL     4  6.71954349067622747e-01 5.13372158315989924e-01  6.71954349067622747e-01 -5.13372158315989924e-01  6.27155662728415830e-01 6.21579565157955522e-60  2.00118389668369989e+00 -1.37355566946516152e-59
TOTALLY     4  7.36885741942783112e-01 1.53207020521131502e-62  4.58298844742687506e-01 -1.11479532641069948e-62  -5.04491524309119033e-01 -5.65690512477680498e-65  3.71264533584672751e+00 -8.66544792503618159e-63
NONREAL     4  6.73242454239391441e-01 2.25444877966707757e-01  -1.12904707882636379e+00 6.89607992219002514e-02  7.59259819290363791e-02 1.16688563983881013e-01  -5.98310282070202648e-01 1.94316068405807035e-01
PARTIAL     4  8.26558486822329352e-01 -2.65513934807624337e-61  -1.10478792229360145e+00 4.79610833833731609e-62  -6.56449237332468627e-01 -3.18126550010376818e-01  -6.56449237332468627e-01 3.18126550010376818e-01
PARTIAL     4  2.12172340739260334e-01 1.58027284316183357e-59  -9.66900469880074165e-01 -9.77624984037996764e-60  -2.45629093919007335e-01 2.21065031933071254e-01  -2.45629093919007335e-01 -2.21065031933071254e-01
MINIMAL     4  -4.72365256178990722e-01 7.48924806293090106e-01  -4.72365256178990722e-01 -7.48924806293090106e-01  -1.12908973755279654e-01 4.10705212763049998e-01  -1.12908973755279654e-01 -4.10705212763049998e-01
NONREAL     4  -1.12904707882636379e+00 -6.89607992219002514e-02  6.73242454239391441e-01 -2.25444877966707757e-01  7.59259819290363791e-02 -1.16688563983881013e-01  -5.98310282070202648e-01 -1.94316068405807035e-01
PARTIAL     4  3.78301495253323017e-01 -3.93278710014665993e-60  -1.08058943863771795e+00 2.79391359441295731e-60  -4.12513724904844614e-01 2.09645992274518744e-01  -4.12513724904844614e-01 -2.09645992274518744e-01
MINIMAL     4  -4.33201348715486045e-01 -1.38866816009863253e-01  -4.33201348715486045e-01 1.38866816009863253e-01  -1.62270265331877800e-01 3.39334958638488837e-01  -1.62270265331877800e-01 -3.39334958638488837e-01
