# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.35307548180135773e-01 -6.31185164586802072e-01  7.35307548180135773e-01 6.31185164586802072e-01  1.48137298808556084e+00 -9.70191445693032579e-59  2.23122875726798509e-01 3.01410588050606866e-60
PARTIAL     4  6.54799968292113732e-01 1.36657632169994075e-01  6.54799968292113732e-01 -1.36657632169994075e-01  -3.69128795881121630e-01 1.24126690132957247e-63  2.06652870702370395e+00 2.18527961715964771e-62
NONREAL     4  4.82596763519947292e-01 4.56207868401317607e-01  -1.36644593551738347e+00 4.11673918736527207e-03  -5.15254824146693102e-02 2.67818970621690244e-01  -7.33251386127646620e-01 4.49861702159518907e-03
NONREAL     4  4.46039687188011402e-01 -8.91286045093076851e-01  -1.65610140756742763e+00 7.78096758157032053e-01  -3.36694767016233005e-03 -3.64018534358221235e-01  -3.16813597105516820e-01 5.71546105873964039e-01
PARTIAL     4  4.75505899255565911e-01 1.17976639801652558e-01  4.75505899255565911e-01 -1.17976639801652558e-01  -3.68223852491815995e-01 -5.21980053707657703e-65  1.46393169819839741e-01 1.24682191482680515e-63
TOTALLY     4  -1.36656462594226058e+00 -5.34245354905040949e-60  9.95132992665263560e-01 5.08473308447947625e-59  -9.90103861053639567e-01 -2.09950668611372029e-58  -7.57345807517272984e-01 1.70067762256345419e-58
PARTIAL     4  5.40235893389994559e-01 7.57547193677137573e-58  -1.05518106144977675e+00 -2.25338599119752418e-59  -2.68634030703651439e-01 1.72108311780974702e-02  -2.68634030703651439e-01 -1.72108311780974702e-02
NONREAL     4  4.46039687188011402e-01 8.91286045093076851e-01  -1.65610140756742763e+00 -7.78096758157032053e-01  -3.36694767016233005e-03 3.64018534358221235e-01  -3.16813597105516820e-01 -5.71546105873964039e-01
TOTALLY     4  -1.36504422421035088e+00 -1.09070253182216934e-61  5.96495582159692450e-01 7.25847396998579422e-60  -4.30415998270715860e-01 -5.12565786247603351e-60  -7.21980362701963752e-01 -1.33094427090974004e-60
NONREAL     4  -1.36644593551738347e+00 -4.11673918736527207e-03  4.82596763519947292e-01 -4.56207868401317607e-01  -7.33251386127646620e-01 -4.49861702159518907e-03  -5.15254824146693102e-02 -2.67818970621690244e-01
