# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  3.82703235543000453e-01 7.88431554729969036e-02  3.82703235543000453e-01 -7.88431554729969036e-02  2.10069037155837329e-01 -1.00744153146447206e-63  -1.60340405930304991e-01 5.33379628518407642e-62
PARTIAL     4  7.03886686154335472e-01 6.11127132756248748e-01  7.03886686154335472e-01 -6.11127132756248748e-01  3.26629657086964564e-01 6.58563024704086292e-62  1.20900371214470836e+00 -1.16303526894533145e-61
TOTALLY     4  7.91876410286396104e-01 -4.91800920913422448e-64  4.16763644903935471e-01 -2.01273069309509081e-64  -1.60866328805633119e-01 1.35755794285028717e-65  1.91211949838078055e+00 -5.80876015265667877e-64
TOTALLY     4  3.69548467068868514e-01 3.90783142892437421e-62  -4.78174950423916334e-01 -1.47061491091531576e-62  1.55818661582678274e-02 1.21516987476921229e-62  -1.46738684525655361e-01 -9.40143700722971984e-63
TOTALLY     4  1.07600495818026864e+00 -1.62939538446008793e-60  -9.91125408772746574e-01 1.98456181165836624e-61  -3.78083112806737842e-01 3.12072526401260170e-61  -2.52756972722245443e+00 -5.43919236498595749e-60
TOTALLY     4  4.04368725150701380e-01 1.54466777691037604e-60  -1.06427902550606013e+00 1.21731657012193397e-60  -1.65692452530410789e-01 -3.28345400426140204e-60  -1.06902365995731774e+00 -4.12123747424793183e-60
MINIMAL     4  -3.36162777349646724e-02 1.57627919900294677e+00  -3.36162777349646724e-02 -1.57627919900294677e+00  -7.84649806191278602e-03 4.62426199780141378e-01  -7.84649806191278602e-03 -4.62426199780141378e-01
NONREAL     4  4.57921705742974972e-01 5.24511848064198705e-01  -1.14763285702523188e+00 -1.35175213673598776e-01  8.17589227734924484e-02 1.99940890085376827e-01  -9.27670823462759864e-01 -2.54460307342550929e-01
MINIMAL     4  -1.68968991724187584e-01 2.44155850262179175e-01  -1.68968991724187584e-01 -2.44155850262179175e-01  -7.48251361268332665e-02 1.71474780543291877e-01  -7.48251361268332665e-02 -1.71474780543291877e-01
NONREAL     4  -1.14763285702523188e+00 1.35175213673598776e-01  4.57921705742974972e-01 -5.24511848064198705e-01  -9.27670823462759864e-01 2.54460307342550929e-01  8.17589227734924484e-02 -1.99940890085376827e-01
