# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  1.23285683674226987e+00 -7.55849853050173843e-63  -2.70874252559100359e-01 -1.90107698032479836e-63  5.13514195389183636e-01 -2.16014787117702048e-64  -7.50241138223817439e-01 -2.85827756393407092e-63
TOTALLY     4  1.11241372334892663e+00 2.18717679404578298e-60  1.02657814813375839e-01 -6.36554952293938496e-61  5.68483600801886646e-01 8.99471614675873170e-64  3.79793726674137444e+00 -6.24290352241659828e-59
NONREAL     4  1.18237131681319863e+00 2.96949555992494472e-02  -1.18156537469391743e+00 9.25010695005810402e-02  3.87361480909886369e-01 1.32241750878398477e-02  -1.01672991803671087e+00 4.48827272329309412e-01
TOTALLY     4  1.36584627367387834e+00 1.31917784945813631e-57  -7.65847752816078864e-01 1.32415537714656202e-56  -9.07261762399660832e-01 8.09955434010920700e-57  -3.88042198019719597e+00 -1.87036450161419335e-55
NONREAL     4  1.18237131681319863e+00 -2.96949555992494472e-02  -1.18156537469391743e+00 -9.25010695005810402e-02  3.87361480909886369e-01 -1.32241750878398477e-02  -1.01672991803671087e+00 -4.48827272329309412e-01
TOTALLY     4  1.35896787786789863e+00 9.66132450774875232e-44  -5.74100235609082854e-01 -7.83609671385573650e-43  -9.46463712664883339e+00 4.97055858755753619e-41  -8.23826239373914859e-01 -6.77205563986020474e-44
NONREAL     4  -1.18919980493386457e+00 2.26326017045257205e-01  -8.64514640470132323e-02 -2.27643155716544643e-01  -5.59253712970841699e-01 5.12810166918846289e-01  1.56481793444577189e-01 -1.82643068866867250e-02
MINIMAL     4  -6.99938145495076713e-01 -2.98367602170188817e-01  -6.99938145495076713e-01 2.98367602170188817e-01  -5.35276142345918915e-01 4.77505734550031480e-01  -5.35276142345918915e-01 -4.77505734550031480e-01
MINIMAL     4  -3.67978329204939281e-01 2.10319430909850436e+00  -3.67978329204939281e-01 -2.10319430909850436e+00  -1.38550818534633469e-01 -4.27210389635038656e-01  -1.38550818534633469e-01 4.27210389635038656e-01
NONREAL     4  -1.18919980493386457e+00 -2.26326017045257205e-01  -8.64514640470132323e-02 2.27643155716544643e-01  1.56481793444577189e-01 1.82643068866867250e-02  -5.59253712970841699e-01 -5.12810166918846289e-01
