# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  7.65195022989529017e-01 -6.57949707105586756e-01  7.65195022989529017e-01 6.57949707105586756e-01  3.32026613184772723e-01 3.96735426100669538e-61  2.60900771267590192e+00 2.20587239390904423e-60
NONREAL     4  9.62340558403064317e-01 -1.47779751005253264e-02  -4.18373986820095689e-01 -5.11478316131334543e-01  -2.91943042966418875e-01 -3.90048220296076859e-02  1.73197643956224251e-01 -7.24667651771921661e-02
NONREAL     4  9.62340558403064317e-01 1.47779751005253264e-02  -4.18373986820095689e-01 5.11478316131334543e-01  1.73197643956224251e-01 7.24667651771921661e-02  -2.91943042966418875e-01 3.90048220296076859e-02
TOTALLY     4  1.27490600615827865e+00 3.16695648843946226e-62  -1.04300774820322784e+00 -3.68274178997558961e-62  -4.14913485542872829e-01 -9.13276315517908153e-63  -3.34260362728254812e+00 1.20765553087097292e-61
TOTALLY     4  9.96777032279516986e-03 7.57325760742680982e-64  1.16861528605787890e+00 2.88101350096806235e-63  -2.80037894333591442e-01 -1.38011737087866676e-64  7.36835329443017528e+00 1.80822677221808980e-61
NONREAL     4  2.08122176293234123e-01 4.86934815987635383e-01  -1.23686373605594668e+00 -1.79626031920036455e-01  -4.67171582129388488e-02 2.73671730052235163e-01  -1.27297301678979347e+00 -1.46881368029870091e-01
MINIMAL     4  1.02203825210465726e-01 2.37714216492352381e+00  1.02203825210465726e-01 -2.37714216492352381e+00  -2.07067386298525370e-02 6.28207467991062973e-01  -2.07067386298525370e-02 -6.28207467991062973e-01
TOTALLY     4  -1.28790452601870675e+00 -1.22395291340599572e-59  6.95283164862210423e-01 -1.70506691602305124e-58  -1.61321301092210923e+00 3.75510313651120659e-58  -2.60344117749425653e-02 8.91901555979395767e-58
NONREAL     4  -1.23686373605594668e+00 1.79626031920036455e-01  2.08122176293234123e-01 -4.86934815987635383e-01  -1.27297301678979347e+00 1.46881368029870091e-01  -4.67171582129388488e-02 -2.73671730052235163e-01
MINIMAL     4  -4.11324015891569306e-01 9.26729440356487300e-01  -4.11324015891569306e-01 -9.26729440356487300e-01  -1.18811176180127792e-01 -3.63652853274418764e-01  -1.18811176180127792e-01 3.63652853274418764e-01
