# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  6.64627551316798626e-01 -3.04855924388155008e-01  6.64627551316798626e-01 3.04855924388155008e-01  7.80458507735537932e-01 -5.24050297429094766e-58  1.92363490846209917e+00 4.18478424859822079e-57
TOTALLY     4  1.04582139022489073e+00 8.73128219475896363e-65  7.84055381606513502e-02 4.00022348564699868e-64  -5.99079863217352293e-01 1.20956328930095739e-65  3.11621113698244789e+00 7.89247443595120081e-63
TOTALLY     4  1.00472561234619229e+00 1.56864937023452634e-62  8.62746585573617442e-02 5.69098434097190567e-62  6.31520621766604062e-01 3.07991953179644954e-62  -5.98821758289436068e-01 7.44687248907468586e-63
TOTALLY     4  8.37833405659859420e-01 3.93755294696198566e-56  -9.75768785192314247e-01 1.01572628019172200e-56  -1.45150909937357420e+00 -1.58023860683984768e-55  2.32145900497972429e-01 1.84550613736601491e-56
TOTALLY     4  1.06984117486489727e+00 -7.11643448916493874e-61  -8.43375623482648384e-01 -2.06668282715770586e-62  -7.17773275764607255e-01 -3.23870281217641622e-62  -3.19152284926211394e+00 2.25863147262865708e-60
PARTIAL     4  1.83623064824880965e-02 -8.02652613165867036e-54  -7.92980110627875434e-01 6.54962580387775483e-54  -3.86391942930255194e-01 1.62979061133520176e-01  -3.86391942930255194e-01 -1.62979061133520176e-01
TOTALLY     4  -8.68388447444074174e-01 -1.33740572245213092e-61  9.59904165175119894e-01 8.96254471168614280e-62  -7.32493342992801777e-01 5.56213553031870906e-63  3.06165454699666384e-01 6.21633680971298025e-63
PARTIAL     4  -4.13760907012082763e-02 2.94464892374877199e-55  -7.47197026132533137e-01 -2.18775890387455345e-55  -3.31849097431122397e-01 2.13765365310253502e-01  -3.31849097431122397e-01 -2.13765365310253502e-01
PARTIAL     4  3.14840889820396652e-02 1.24129987354832430e-54  -8.03842378886591269e-01 -1.02792816671742347e-54  -4.11111479156257675e-01 1.57929911074084051e-01  -4.11111479156257675e-01 -1.57929911074084051e-01
MINIMAL     4  -5.35858291908424711e-01 9.29934228412631847e-01  -5.35858291908424711e-01 -9.29934228412631847e-01  -1.34168725110015097e-01 5.09543402797863476e-01  -1.34168725110015097e-01 -5.09543402797863476e-01
