# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
PARTIAL     4  3.64394702321871489e-01 1.60200978963351194e-60  -7.43649344243622834e-01 -5.44259485618795543e-61  -8.98847847351181561e-02 1.64818408780647574e-01  -8.98847847351181561e-02 -1.64818408780647574e-01
PARTIAL     4  6.39950785442922498e-01 2.88286078498839193e-01  6.39950785442922498e-01 -2.88286078498839193e-01  -6.02260285032402351e-02 2.00010895548365337e-64  3.18184586611365505e+00 -5.25709168339395796e-62
PARTIAL     4  7.16379854843722574e-01 6.75839609411928444e-01  7.16379854843722574e-01 -6.75839609411928444e-01  2.85098082646707773e-01 -8.05294122479602926e-62  2.02843307735885547e+00 -1.27577939737302889e-61
TOTALLY     4  6.02858024427220807e-01 1.17839974726244904e-62  -1.32629792487603959e+00 -1.06647622357806275e-61  -1.36555192174786649e-01 -4.44298079324142603e-62  -1.18541308055551053e+00 7.00879854613815970e-62
TOTALLY     4  1.07920191068930493e+00 2.93620514151777425e-57  -1.24531676248872669e+00 2.46997734410400607e-57  -1.80070018104428931e+00 -9.42362206323278598e-57  -3.57555049728334684e-01 1.23751406545065532e-57
PARTIAL     4  4.13298788558261743e-01 1.96894313679860072e-01  4.13298788558261743e-01 -1.96894313679860072e-01  -4.86291969203879945e-02 -1.37787155841848174e-64  1.38112801349550757e-01 2.40763473847206512e-64
MINIMAL     4  4.56363963166858511e-01 2.22192878944973637e+00  4.56363963166858511e-01 -2.22192878944973637e+00  5.30935555998363895e-02 6.57343431184142513e-01  5.30935555998363895e-02 -6.57343431184142513e-01
NONREAL     4  -1.34160612542869329e+00 -1.40820818236320588e-01  3.38215730087074062e-01 5.48328574492155774e-01  4.27846520298025626e-03 2.64791178140661221e-01  -9.71696872060239802e-01 -1.59793668156270857e-01
NONREAL     4  -1.34160612542869329e+00 1.40820818236320588e-01  3.38215730087074062e-01 -5.48328574492155774e-01  4.27846520298025626e-03 -2.64791178140661221e-01  -9.71696872060239802e-01 1.59793668156270857e-01
PARTIAL     4  -6.70004946624312758e-01 3.88507202087959860e-62  1.46993243881726521e-01 -7.99987885757188115e-62  -9.64268984923598999e-02 -2.16821467059669093e-01  -9.64268984923598999e-02 2.16821467059669093e-01
