# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
NONREAL     4  1.10877603355140142e+00 5.18384098987233061e-02  -1.33285981952741273e-01 -1.07661835665809238e-01  3.53170510602910781e+00 6.27898843605844581e-01  -1.39385631035787161e-01 -1.38983171105266524e-02
MINIMAL     4  1.04897073776170280e+00 -1.87508879690077346e+00  1.04897073776170280e+00 1.87508879690077346e+00  3.82624372225867537e-01 8.75247025958188596e-01  3.82624372225867537e-01 -8.75247025958188596e-01
NONREAL     4  -1.32803768106583481e-01 -2.99137027515194998e-01  4.06743484737063288e-01 -5.88191042998074676e-02  1.42178578723702875e-01 -1.51461565760321160e-01  -1.23260840952072293e-01 -2.78853956832381157e-02
NONREAL     4  4.06743484737063288e-01 5.88191042998074676e-02  -1.32803768106583481e-01 2.99137027515194998e-01  -1.23260840952072293e-01 2.78853956832381157e-02  1.42178578723702875e-01 1.51461565760321160e-01
NONREAL     4  1.10877603355140142e+00 -5.18384098987233061e-02  -1.33285981952741273e-01 1.07661835665809238e-01  -1.39385631035787161e-01 1.38983171105266524e-02  3.53170510602910781e+00 -6.27898843605844581e-01
MINIMAL     4  -2.55240667394025289e-01 -3.87168011239268084e-01  -2.55240667394025289e-01 3.87168011239268084e-01  -2.19622315364302573e-01 1.23384546257042912e-01  -2.19622315364302573e-01 -1.23384546257042912e-01
MINIMAL     4  7.95031996736111690e-01 3.23163755347794890e+00  7.95031996736111690e-01 -3.23163755347794890e+00  1.21283463578498368e-01 9.27574563874095315e-01  1.21283463578498368e-01 -9.27574563874095315e-01
TOTALLY     4  1.56619755411208122e-01 -1.05689399805723639e-63  -7.53185620737231498e-01 6.35087585907320105e-64  -9.43753579076730686e-02 -1.90476196351124526e-64  -9.36480165097981709e-01 5.41994688552144213e-64
MINIMAL     4  -6.29610651569476598e-01 1.26568968179310826e+00  -6.29610651569476598e-01 -1.26568968179310826e+00  -2.84276475865134437e-01 6.13021574662204083e-01  -2.84276475865134437e-01 -6.13021574662204083e-01
MINIMAL     4  -3.11609783404797280e-01 4.23887641405878923e-01  -3.11609783404797280e-01 -4.23887641405878923e-01  -2.81130171948959784e-01 1.11033264658144976e-01  -2.81130171948959784e-01 -1.11033264658144976e-01
