# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
TOTALLY     4  -4.18169116753351833e-01 1.40924326891628900e-61  1.15993165764030493e+00 2.20080125898960782e-62  -6.61870772306587529e-01 2.88376569916078417e-62  4.13380534639930630e-01 3.73432434938332534e-62
PARTIAL     4  6.61116081757246787e-01 -3.80185244952140455e-01  6.61116081757246787e-01 3.80185244952140455e-01  6.95398630772017912e-01 -8.37433907735241940e-61  3.36319843073045943e+00 1.17974131452478141e-59
TOTALLY     4  1.24449821596122767e+00 -2.04790675368464126e-58  -9.93850664982845911e-01 -1.50030339979174612e-57  -1.50787983718137553e+00 5.44974402715368389e-57  -8.06963834873934638e-01 -4.21938517916985539e-58
NONREAL     4  1.10188555238525976e+00 -1.04174379328938211e-02  -1.04157436130592229e+00 -3.09923981324520849e-02  2.31671539186018849e-01 -1.05097335481222336e-02  -8.46291896565716240e-01 -3.94152658747767906e-02
TOTALLY     4  1.22914507856015409e+00 -1.49010110957153024e-64  -2.96588485662414969e-01 -2.09381475287176899e-64  -6.51623750785668032e-01 -1.12963386729617963e-65  -1.05272744837046996e+01 3.06879328484357211e-62
NONREAL     4  1.10188555238525976e+00 1.04174379328938211e-02  -1.04157436130592229e+00 3.09923981324520849e-02  2.31671539186018849e-01 1.05097335481222336e-02  -8.46291896565716240e-01 3.94152658747767906e-02
NONREAL     4  -2.65466784857268379e-01 -8.48489689839414113e-02  -9.92561570448965202e-01 -3.76826113401818345e-03  -7.91550599698278678e-01 -1.21130460891682038e-04  -1.26534026488682588e-01 -4.23959957677312871e-01
NONREAL     4  3.59535861041752960e-02 1.29397736602937075e+00  -1.51096063535102854e+00 -1.37991370888302578e+00  7.46352541963764358e-03 4.91469141774452278e-01  -1.51312616125418187e-01 -5.97359820895865146e-01
NONREAL     4  -2.65466784857268379e-01 8.48489689839414113e-02  -9.92561570448965202e-01 3.76826113401818345e-03  -1.26534026488682588e-01 4.23959957677312871e-01  -7.91550599698278678e-01 1.21130460891682038e-04
NONREAL     4  -1.51096063535102854e+00 1.37991370888302578e+00  3.59535861041752960e-02 -1.29397736602937075e+00  7.46352541963764358e-03 -4.91469141774452278e-01  -1.51312616125418187e-01 5.97359820895865146e-01
