# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
MINIMAL     4  3.71062191628253324e-01 5.14216571032977465e-01  3.71062191628253324e-01 -5.14216571032977465e-01  1.34871254411977004e-01 2.77236316534909377e-01  1.34871254411977004e-01 -2.77236316534909377e-01
MINIMAL     4  8.85578402597608783e-01 2.71149376087364447e+00  8.85578402597608783e-01 -2.71149376087364447e+00  1.45030277102610433e-01 8.79055614237396421e-01  1.45030277102610433e-01 -8.79055614237396421e-01
NONREAL     4  9.95757763820471209e-01 -1.04325984889538925e+00  6.24856577257846935e-01 1.16767831624392460e+00  7.19073393087459101e-01 -6.06393169169371693e-01  3.77101954167505804e-01 4.84315383447982584e-01
MINIMAL     4  2.27221723875627203e-02 -2.09460129876774759e-01  2.27221723875627203e-02 2.09460129876774759e-01  -1.96781784293776491e-02 2.62209884413625249e-01  -1.96781784293776491e-02 -2.62209884413625249e-01
NONREAL     4  1.06065036284481828e+00 5.20958808389028888e-02  -8.80115287304153004e-01 4.07760548369181935e-02  -3.00505502551862104e-03 -1.40770427627675415e-02  -3.88141164981443110e+00 -8.79357636550646360e-01
NONREAL     4  9.95757763820471209e-01 1.04325984889538925e+00  6.24856577257846935e-01 -1.16767831624392460e+00  7.19073393087459101e-01 6.06393169169371693e-01  3.77101954167505804e-01 -4.84315383447982584e-01
NONREAL     4  1.06065036284481828e+00 -5.20958808389028888e-02  -8.80115287304153004e-01 -4.07760548369181935e-02  -3.00505502551862104e-03 1.40770427627675415e-02  -3.88141164981443110e+00 8.79357636550646360e-01
MINIMAL     4  -3.63709568252796323e-01 6.68049416047083566e-01  -3.63709568252796323e-01 -6.68049416047083566e-01  -2.32360751370233876e-01 3.28129965936289125e-01  -2.32360751370233876e-01 -3.28129965936289125e-01
MINIMAL     4  -4.93525323264862537e-01 9.11658606899363289e-01  -4.93525323264862537e-01 -9.11658606899363289e-01  -2.95723859512846021e-01 4.57640395110868181e-01  -2.95723859512846021e-01 -4.57640395110868181e-01
MINIMAL     4  -3.20817778437752887e-01 6.11102083407472185e-01  -3.20817778437752887e-01 -6.11102083407472185e-01  -2.00291706705040734e-01 3.10646830843845367e-01  -2.00291706705040734e-01 -3.10646830843845367e-01
