# label  mult   t1(re) t1(im)  t2(re) t2(im)  s1(re) s1(im)  s2(re) s2(im)
NONREAL     4  -2.69387705983392900e-01 -8.76873601094318667e-01  1.35057594739635101e+00 2.95388583837325247e-01  -2.57666281968175620e-02 7.08071250548462094e-01  5.22938503444707492e-01 9.71902351741515291e-01
NONREAL     4  6.30458434236317977e-01 1.63375250628223401e+00  -8.29619602475844320e-01 1.73145038516010034e-02  -1.36455235763462274e-01 1.11498258934968814e-01  -1.17489043064370816e-01 -2.34032881391499387e-01
TOTALLY     4  1.21855919465388429e+00 -4.07583690263998720e-61  -9.37673533213517985e-01 -4.98636622190355888e-62  -1.38235158640116235e-01 -6.67985342952100811e-62  -2.12311654151772133e+00 4.70469655390196849e-61
NONREAL     4  1.35057594739635101e+00 -2.95388583837325247e-01  -2.69387705983392900e-01 8.76873601094318667e-01  5.22938503444707492e-01 -9.71902351741515291e-01  -2.57666281968175620e-02 -7.08071250548462094e-01
TOTALLY     4  2.02007923111699528e+00 -2.92697527868647540e-61  -1.47446672026793246e+00 -3.94299523544875308e-62  2.30883705106638110e-01 -1.59975386223071984e-62  -6.48476768557458727e-01 -5.51904573591912711e-62
TOTALLY     4  1.00558325116287306e+00 4.50591683203716593e-59  -1.43358460297693657e+00 3.40186686833697945e-59  -8.76057850937488558e-01 9.45953968587446636e-59  -5.70536983068946513e-01 -1.13676784753430449e-58
NONREAL     4  6.30458434236317977e-01 -1.63375250628223401e+00  -8.29619602475844320e-01 -1.73145038516010034e-02  -1.36455235763462274e-01 -1.11498258934968814e-01  -1.17489043064370816e-01 2.34032881391499387e-01
MINIMAL     4  3.62245385064026482e-01 6.44022479595665054e-01  3.62245385064026482e-01 -6.44022479595665054e-01  -1.84410521268961292e-01 4.80932942512930006e-01  -1.84410521268961292e-01 -4.80932942512930006e-01
NONREAL     4  -6.56472428987236789e-01 4.28143346813297854e-01  -1.42825776726562736e+00 -3.68186384724043317e-02  -6.69451455377877425e-01 -2.08323744969520592e-03  -1.57350707083493996e-01 -1.77986208745216257e-01
NONREAL     4  -1.42825776726562736e+00 3.68186384724043317e-02  -6.56472428987236789e-01 -4.28143346813297854e-01  -1.57350707083493996e-01 1.77986208745216257e-01  -6.69451455377877425e-01 2.08323744969520592e-03
